,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
48,Oleg Reabciuk Pacos de Ferreira,23, D(L),M(L),11,990,1,1.0,34.7,77.0,1.1,1.6,-,6.92
49,Bruno Costa Pacos de Ferreira,24, AM(C),,30(1),2470,3,1.4,37.3,88.3,1.1,2.4,-,6.92
50,Fahd Moufi Portimonense,25, D(R),,25(1),2158,4,0.8,28.2,76.1,0.8,1.4,-,6.92
51,Nuno Sequeira Braga,31, D(CL),M(L),24(2),2055,2,0.8,57.1,79.8,0.5,3.8,-,6.91
52,Pepe Porto,38, D(C),,26(1),2187,1,0.2,60.0,90.0,-,4.6,-,6.91
53,Gideon Mensah Vitoria de Guimaraes,23, D(L),M(L),22,1832,-,0.5,36.5,81.5,0.1,1.2,-,6.91
54,Léo Andrade Maritimo,23, D(C),,21,1856,1,0.1,46.4,79.6,-,3.0,-,6.91
55,Ricardo Ferreira Portimonense,31, GK,,5,389,-,-,36.2,54.1,-,9.0,-,6.9
56,João Mário Sporting,28, M(CLR),,24(4),1992,1,1.2,42.1,87.9,0.6,1.6,-,6.9
57,Hidemasa Morita Santa Clara,26, DMC,,20,1800,1,0.4,43.6,79.1,0.2,2.9,-,6.9
58,Jan Vertonghen Benfica,34, D(CL),,26(2),2406,-,0.1,64.8,86.8,-,3.7,-,6.9
59,Daniel Guimarães Nacional,34, GK,,14,1260,-,-,28.5,58.4,-,5.6,-,6.9
60,Rúben Lima Belenenses SAD,32, D(CL),M(L),32(1),2863,4,1.2,33.3,66.2,1.1,2.1,0.1,6.9
61,Nicolás Otamendi Benfica,33, D(C),,27,2430,-,0.1,68.0,87.9,-,3.1,-,6.89
62,Mario González Tondela,25, FW,,25(2),2137,2,0.3,15.7,65.2,-,0.7,0.1,6.89
63,Aderllan Santos Rio Ave,32, D(C),,32,2792,-,0.1,59.3,86.0,-,3.6,-,6.88
64,Luís Neto Sporting,33, D(C),,20(2),1692,1,0.2,55.4,86.9,-,4.2,-,6.88
65,Darwin Núñez Benfica,22, AM(L),FW,19(10),1793,9,1.2,13.1,68.3,-,0.2,-,6.87
66,Helton Leite Benfica,31, GK,,15,1350,-,-,26.9,74.7,-,6.0,-,6.87
67,Óscar Estupiñán Vitoria de Guimaraes,25, FW,,21(2),1780,2,0.3,12.5,69.8,-,0.2,-,6.87
68,André André Vitoria de Guimaraes,32, M(C),,32,2619,3,0.6,36.0,85.2,0.1,2.2,-,6.87
69,Ricardo Horta Braga,27, AM(CLR),FW,30(2),2480,3,1.3,26.6,81.0,0.4,1.0,-,6.86
70,Nuno Santos Sporting,26, M(CLR),,23(8),1920,6,1.4,25.6,80.3,1.2,0.9,-,6.86
71,Zainadine Júnior Maritimo,33, D(C),,28,2466,-,0.3,43.2,81.1,0.1,4.5,-,6.86
72,Getterson Maritimo,30, AM(R),FW,2,180,-,-,13.0,46.2,-,-,-,6.86
73,Pizzi Benfica,32, M(CLR),,19(13),1856,4,1.5,43.5,86.3,1.4,2.3,0.1,6.85
74,Falaye Sacko Vitoria de Guimaraes,26, D(R),M(R),28,2482,1,0.8,46.9,78.8,0.6,3.5,-,6.85
75,Rúben Vinagre Famalicao,22, D(L),M(L),20,1649,3,1.2,31.6,78.6,1.1,1,-,6.85
76,Pedro Trigueira Tondela,33, GK,,16(1),1516,-,-,30.8,59.7,-,6.8,-,6.85
77,Gabriel Pires Benfica,28, M(C),FW,10(10),1031,2,0.4,47.5,84.6,0.1,4.1,0.1,6.84
78,Ricardo Quaresma Vitoria de Guimaraes,38, AM(CLR),,17(11),1623,5,1.7,16.3,74.1,2,0.8,0.1,6.84
79,Bruno Viana Braga,26, D(C),,13,1111,-,-,65.0,89.1,-,5.8,-,6.84
80,Ruben Lameiras Famalicao,26, M(LR),,11,879,1,0.9,19.4,65.3,0.2,1.0,0.2,6.84
81,Alberth Elis Boavista,25, AM(LR),FW,28(3),2550,6,1,15.8,69.8,0.2,0.1,-,6.83
82,Castro Braga,33, M(C),,20(1),1438,3,0.6,43.4,83.0,0.2,3.8,-,6.83
83,Claudio Winck Maritimo,27, D(R),M(R),28(1),2488,5,0.8,32.0,65.7,0.7,1.5,0.1,6.83
84,Lucas Fernandes Portimonense,24, M(CL),FW,7,579,2,1.9,37.3,91.2,1.1,2.7,0.1,6.83
85,Kalindi Nacional,28, D(R),,14,1216,-,0.7,29.6,71.6,0.9,3.4,-,6.83
86,Maracás Pacos de Ferreira,27, D(C),,23,1994,-,0.1,38.1,84.5,-,3.1,-,6.82
87,Stephen Eustáquio Pacos de Ferreira,24, DMC,,32,2805,1,0.9,48.9,85.8,0.2,3.1,-,6.82
88,Gustavo Sauer Boavista,28, M(CLR),,28(4),2099,1,1.2,16.7,77.3,1,0.6,-,6.82
89,Luís Maximiano Sporting,22, GK,,2,156,-,-,18.0,80.6,-,2.5,-,6.82
90,Diogo Gonçalves Benfica,24, D(R),M(LR),12(9),1181,5,0.9,33.5,84.9,0.8,1.0,-,6.82
91,Fábio Abreu Moreirense,28, FW,,3,270,-,0.3,10.3,67.7,-,0.3,-,6.82
92,Rodrigo Pinho Maritimo,30, FW,,13(5),1237,-,0.3,9.8,64.4,-,0.2,0.1,6.81
93,Amir Abedzadeh Maritimo,28, GK,,29,2610,-,-,30.3,62.5,-,8.2,-,6.81
94,Stanislav Kritsyuk Belenenses SAD,30, GK,,27,2314,-,-,26.1,59.5,-,6.7,-,6.81
95,Pedrinho Gil Vicente,28, M(CR),,15(4),1297,2,2,27.7,74.0,1.3,2.8,0.1,6.8
96,Tiago Esgaio Belenenses SAD,26, D(CR),DMC,32,2736,1,0.4,35.5,70.2,0.3,2.6,-,6.8
97,Zaidu Sanusi Porto,24, D(L),M(L),19(6),1799,1,0.4,32.1,79.7,0.5,0.7,-,6.8
98,Angel Gomes Boavista,21, AM(CL),FW,29(1),2508,3,1.5,29.3,77.5,0.6,1.8,0.1,6.8
99,Odysseas Vlachodimos Benfica,27, GK,,18,1620,-,-,22.1,74.3,-,3.8,-,6.8
100,Beto Portimonense,23, FW,,21(9),1964,2,0.6,10.9,64.7,-,0.2,-,6.79
101,Miguel Oliveira Moreirense,27, Goalkeeper,,2,180,-,-,23.0,63.0,-,5.0,-,6.79
102,André Moreira Belenenses SAD,25, GK,,7(1),714,-,-,31.3,59.6,-,8.0,-,6.79
103,Gilberto Benfica,28, D(R),M(R),17(8),1490,1,0.7,36.4,84.9,0.6,0.8,-,6.79
104,Toni Martínez Porto,24, FW,,6(12),601,-,0.3,7.4,71.4,-,0.1,-,6.79
105,João Vigário Nacional,25, D(L),,18(3),1517,2,1.5,27.1,71.1,1.1,1.2,0.1,6.78
106,Julian Weigl Benfica,26, D(C),DMC,23(5),2036,-,0.4,61.6,91.1,0.1,3.4,-,6.78
107,Joel Tagueu Maritimo,27, AM(L),FW,27(5),2259,2,0.5,15.7,75.7,-,0.4,-,6.78
108,Nahuel Ferraresi Moreirense,22, D(CR),,20(4),1930,-,0.3,47.1,81.8,0.1,3.3,-,6.78
109,João Talocha Gil Vicente,32, D(L),M(L),28(3),2527,2,1.1,37.4,74.1,1,2.2,-,6.78
110,Al Musrati Braga,25, DMC,,23(5),1961,3,0.6,42.1,85.1,0.1,4.8,0.1,6.78
111,Gonçalo Inácio Sporting,20, D(C),,15(5),1357,1,0.2,43.8,84.1,-,3.2,0.1,6.78
112,Luther Singh Pacos de Ferreira,24, AM(LR),,24(5),1964,5,0.8,20.4,81.3,0.4,1.3,0.1,6.77
113,Crysan Santa Clara,25, FW,,15(9),1315,6,0.7,13.0,71.8,0.3,0.4,-,6.77
114,César Martins Farense,28, D(C),,16,1325,-,0.2,38.8,73.9,-,5.4,-,6.77
115,Moussa Marega Porto,30, AM(LR),FW,25(5),2014,1,0.5,11.3,64.3,0.1,-,-,6.77
116,Zé Carlos Braga,23, D(R),,2(2),229,-,-,35.0,72.1,0.5,1.3,-,6.77
117,Allano Santa Clara,26, AM(LR),,14(4),1112,-,0.7,20.5,77.0,0.5,0.3,-,6.76
118,Ricardo Mangas Boavista,23, D(CL),M(L),21(7),1968,1,0.5,24.5,72.9,0.2,0.8,-,6.76
119,Pêpê Famalicao,24, M(C),,17(1),1545,-,1.3,54.3,85.4,0.6,6.1,0.2,6.76
120,Manuel Ugarte Famalicao,20, DMC,,18(2),1523,2,0.8,27.3,85.3,0.1,1.6,-,6.76
121,Marko Grujic Porto,25, DMC,,9(14),818,-,0.2,23.7,84.7,-,1.3,-,6.75
122,Anderson Carvalho Santa Clara,31, M(C),,24(5),1995,1,0.4,24.9,77.3,-,1.3,-,6.75
123,Vítor Tormena Braga,25, D(CR),,20(5),1913,1,0.2,60.8,85.2,0.1,2.9,-,6.74
124,Brian Araújo Gil Vicente,21, Goalkeeper,,1,90,-,-,29.0,48.3,-,7.0,-,6.74
125,Danilo Pereira Porto,30, D(C),DMC,3,270,-,0.3,52.7,89.9,-,2.3,-,6.74
126,André Amaro Vitoria de Guimaraes,19, D(C),,10(2),871,-,0.1,38.0,88.4,-,2.7,-,6.74
127,Gian-Luca Waldschmidt Benfica,25, AM(CLR),FW,18(9),1400,2,1.1,19.0,81.6,0.3,0.5,0.1,6.74
128,Rafael Ramos Santa Clara,26, D(R),,29(1),2561,3,0.7,31.0,73.9,0.7,2.0,-,6.73
129,Lucas Possignolo Portimonense,27, D(C),,29,2419,-,0.2,47.3,81.7,-,4.6,-,6.73
130,Chancel Mbemba Porto,27, D(CLR),DMC,27,2353,-,0.3,58.5,89.0,-,3.2,-,6.73
131,Filipe Augusto Rio Ave,28, DMC,,23(2),2028,-,0.6,55.3,86.7,0.1,3.1,-,6.72
132,Lourency Gil Vicente,25, AM(LR),,27(7),2323,1,1,19.7,77.2,0.9,0.8,-,6.72
133,Yanis Hamache Boavista,22, D(L),M(L),13(11),1203,4,0.8,18.8,67.3,0.9,0.8,-,6.72
134,Jovane Cabral Sporting,23, AM(CLR),,6(18),677,4,0.8,9.8,78.2,0.2,0.6,0.2,6.72
135,Miguel Cardoso Belenenses SAD,27, AM(CLR),FW,30,2532,3,1,23.2,65.4,0.5,0.6,-,6.72
136,Pepelu Vitoria de Guimaraes,23, DMC,,26(4),2392,-,0.5,44.2,85.8,0.1,3.5,-,6.72
137,Morato Benfica,20, D(C),,1(1),91,-,-,29.5,84.7,-,1.5,-,6.72
138,Fábio Cardoso Santa Clara,27, D(C),,28,2504,1,0.4,46.4,82.2,0.1,4.3,-,6.71
139,Raúl Silva Braga,32, D(C),,13(2),1019,1,0.3,50.7,87.0,-,3.3,-,6.71
140,Jonatan Lucca Farense,27, M(C),,21(4),1858,2,1.2,24.1,78.7,1,2.4,-,6.71
141,Joel Pereira Gil Vicente,25, D(R),M(R),28(4),2532,1,0.8,39.5,75.9,0.7,5.1,0.1,6.71
142,Abdoulaye Ba Moreirense,30, D(C),,11(1),984,-,-,32.1,79.7,-,2.6,-,6.7
143,Luquinhas Portimonense,21, AM(C),,11(9),1102,3,1.7,22.9,79.0,1.4,0.8,0.1,6.7
144,Jorge Silva Pacos de Ferreira,25, D(R),,2,180,-,1.5,23.5,70.2,0.5,0.5,-,6.7
145,Léo Jardim Boavista,26, GK,,34,3060,-,-,24.0,47.1,-,6.3,-,6.7
146,Pedro Marques Gil Vicente,23, FW,,11(4),927,2,0.7,13.1,66.8,-,0.4,-,6.7
147,João Mário Porto,21, D(R),,4(10),372,3,0.5,14.3,89.0,0.1,0.4,-,6.7
148,Fransérgio Braga,31, M(C),FW,25(5),2280,1,0.7,33.9,77.6,0.2,2.4,0.1,6.69
149,Pelé Rio Ave,30, M(C),,21(4),1860,1,0.2,46.5,86.5,-,4.1,-,6.69
150,Nanu Porto,27, D(R),M(LR),8(4),734,-,0.3,29.0,82.2,0.2,0.7,0.1,6.69
151,Marcus Edwards Vitoria de Guimaraes,22, AM(LR),,21(12),1773,1,0.6,14.9,76.0,0.5,0.3,0.1,6.69
152,Lincoln Santa Clara,23, AM(C),FW,25(5),2199,4,1.3,24.2,78.0,1.1,1.3,0.1,6.69
153,Mansur Santa Clara,28, D(L),,26,2307,1,0.3,38.4,83.4,0.2,2.1,-,6.68
154,Lucas Mineiro Gil Vicente,25, M(C),,27(6),2491,1,0.2,27.4,76.9,-,2.0,-,6.68
155,Chidozie Awaziem Boavista,24, D(CR),,27,2253,1,0.1,41.0,79.6,-,3.9,-,6.68
156,Antonio Adán Sporting,34, GK,,32,2880,1,-,27.0,72.8,-,4.8,-,6.68
157,Pedro Nuno Moreirense,26, AM(CL),FW,6,452,-,1.5,20.2,74.4,1,1.3,0.2,6.68
158,Marco Baixinho Pacos de Ferreira,32, D(C),DMC,19(4),1834,-,0.1,35.7,79.4,-,4.7,-,6.67
159,Mikel Agu Vitoria de Guimaraes,28, DMC,,8(6),778,-,0.1,26.7,83.4,-,1.5,-,6.67
160,Eduardo Mancha Farense,25, D(C),,21(1),1831,-,0.1,33.6,75.9,-,3.4,-,6.67
161,Agustín Marchesín Porto,33, GK,,33,2970,1,-,30.5,70.9,-,7.8,-,6.67
162,Jorge Fernandes Vitoria de Guimaraes,24, D(C),,30,2659,-,0.1,53.9,83.4,-,4,-,6.67
163,Toni Borevkovic Rio Ave,24, D(C),,31(1),2833,1,0.2,52.6,84.6,0.1,4.5,-,6.67
164,Srdjan Babic Famalicao,25, D(C),,27,2374,2,0.1,57.2,86.9,-,3.4,-,6.67
165,Denis Gil Vicente,34, GK,,32,2880,-,-,36.9,64.7,-,7.2,-,6.66
166,Carlos Valenzuela Famalicao,24, AM(L),,8(16),918,1,0.8,9.8,74.2,0.5,0.6,-,6.66
167,Marcelo Pacos de Ferreira,32, D(C),,26(2),2293,-,0.1,38.8,79.1,-,3.6,-,6.66
168,Gonçalo Ramos Benfica,20, Forward,,0(4),93,-,0.3,7.5,66.7,-,-,-,6.66
169,Mikel Villanueva Santa Clara,28, D(C),,29,2566,-,0.1,47.2,86.0,-,5.1,-,6.66
170,Tomás Ribeiro Belenenses SAD,22, D(C),,32,2808,-,0.2,40.0,75.6,0.1,4.4,-,6.65
171,Jhon Murillo Tondela,25, M(LR),FW,22(4),1949,4,0.9,23.0,80.9,-,0.7,-,6.65
