,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,8.21,André Ferreira Santa Clara,25, GK,1,90,-,-,-,-,-,1.0,-,-,-
1,7.81,Alex Telles Porto,28, D(L),3,259,2,2,3,1.7,1,1.7,0.3,0.3,1
2,7.49,Pote Sporting,23, M(C),32,2735,23,3,2.5,1.6,1.3,1.3,0.5,1.4,2.6
3,7.4,Otávio Porto,26, AM(CLR),24(2),2128,3,8,1.4,1.7,1.8,2.8,-,1.2,1.4
4,7.34,Nanu Maritimo,27, D(R),3,270,1,-,1.7,0.7,3,1.3,-,1.3,3
5,7.34,Rafa Benfica,28, AM(CLR),27(2),2192,5,5,1.2,1.5,3.4,2.3,0.1,2,2.4
6,7.28,Iuri Medeiros Braga,27, AM(CR),11(4),956,5,2,1.7,1.4,1.7,0.5,0.1,0.7,1.5
7,7.26,Sebastián Coates Sporting,31, D(C),33,2970,5,-,1.3,0.3,0.4,0.6,-,0.1,0.3
8,7.25,Mehdi Taremi Porto,29, FW,26(8),2227,16,11,2.4,1.1,0.7,1.5,0.4,0.9,1.6
9,7.25,Nuno Mendes Sporting,19, D(L),29,2401,1,1,0.6,1.1,1.5,2.0,0.1,0.9,2
10,7.24,Thiago Santana Santa Clara,28, FW,9,762,7,-,3.1,0.8,1.1,2.8,0.6,1.7,3.4
11,7.21,Sérgio Oliveira Porto,29, DMC,28(4),2388,13,5,1.8,1.5,1.1,1.3,-,0.9,1.1
12,7.21,João Palhinha Sporting,26, DMC,28(4),2504,1,-,1.2,0.4,0.7,2.3,-,0.9,0.8
13,7.2,Haris Seferovic Benfica,29, AM(LR),24(7),2266,22,7,3.0,0.7,0.5,0.7,0.7,0.7,2.1
14,7.2,Carlos Junior Santa Clara,26, AM(LR),31(1),2753,14,4,2.6,0.5,1.1,1.7,0.7,1.2,3.5
15,7.19,Ryan Gauld Farense,25, AM(CL),33,2869,9,7,2.4,2.3,1.3,1.9,0.2,0.8,2.1
16,7.19,Éverton Benfica,25, AM(CLR),24(8),1980,7,8,1.5,1.3,1.9,0.8,-,1.3,1.5
17,7.18,Alejandro Grimaldo Benfica,26, D(L),27(4),2468,2,9,0.5,1.5,0.9,0.6,0.1,0.6,1.5
18,7.17,Pedro Porro Sporting,22, D(R),30,2509,3,3,1.5,1.7,1.2,1.8,0.1,0.6,1.6
19,7.15,Lucas Veríssimo Benfica,26, D(CR),14,1136,2,-,0.4,-,0.3,0.1,-,-,0.4
20,7.13,André Almeida Benfica,31, D(LR),4,283,-,1,0.3,1.8,0.5,0.3,0.3,0.3,1.3
21,7.12,Ivo Rodrigues Famalicao,26, AM(LR),12(2),1043,6,2,1.4,1,1.1,1.8,-,1.3,2.5
22,7.12,Wendel Sporting,24, M(CL),1,90,-,-,-,1,3,3.0,-,1,1.0
23,7.08,Paulinho Braga,29, FW,12,1061,3,4,2.9,1.3,0.7,2.2,0.8,1.4,2.0
24,7.07,Jesús Corona Porto,28, D(R),27(3),2235,2,7,0.9,2.3,1.8,1.8,0.3,1.2,3.1
25,7.04,Adel Taarabt Benfica,32, M(CL),19(7),1646,-,3,0.6,1.2,2.3,1.7,-,0.6,1.6
26,7.02,Galeno Braga,24, M(LR),29(4),2488,3,3,2.3,1.5,1.9,2.2,0.2,1.1,2.2
27,7.02,Rúben Dias Benfica,24, D(C),2,180,1,-,1,-,-,0.5,-,-,0.5
28,7.02,Paulinho Sporting,29, FW,13(1),1073,3,2,2.3,1,0.6,2.7,0.3,0.9,2.5
29,7.01,Mateus Uribe Porto,30, DMC,30(1),2556,4,1,1.3,0.5,0.8,0.9,-,0.5,1.2
30,7.01,Joao Ferreira Benfica,20, Defender,1,90,-,-,1,1,-,5,1,1,-
31,7.0,Carlos Mané Rio Ave,27, AM(LR),27(5),2367,6,2,1.3,1.2,2,1.3,0.2,1.1,1.8
32,6.99,Pedro Amador Moreirense,22, D(L),4,334,-,-,0.5,1,-,0.8,-,0.8,1.3
33,6.99,Matous Trmal Vitoria de Guimaraes,23, GK,3,270,-,-,-,-,-,0.3,-,-,-
34,6.99,Dener Portimonense,29, M(CR),32,2785,4,2,1,0.6,0.7,1.1,0.1,0.3,1.2
35,6.98,Wilson Manafá Porto,27, D(LR),31,2707,-,2,0.3,0.8,2.1,0.8,-,0.7,1.9
36,6.98,Guilherme Braga,20, Defender,1,90,-,-,-,-,-,-,-,-,-
37,6.97,Rochinha Vitoria de Guimaraes,26, AM(CLR),23(10),1967,6,5,1,1,2.5,2.7,-,1.5,1.6
38,6.97,Paulinho Boavista,24, M(CLR),30(1),2686,2,4,0.9,0.9,2,2.6,-,1.7,2.1
39,6.96,Luciano Vietto Sporting,27, AM(CLR),2(1),170,1,1,2,0.7,0.7,0.7,0.3,0.7,1.7
40,6.96,Luis Díaz Porto,24, AM(L),16(14),1638,6,5,1.4,0.7,1.9,1.4,0.1,0.8,1.5
41,6.96,Douglas Tanque Pacos de Ferreira,28, FW,29(2),2463,9,2,2.9,0.6,0.7,2.2,0.4,1.7,3.0
42,6.96,Gil Dias Famalicao,25, D(L),26(5),2366,-,3,1.3,0.6,2.5,1.5,0.1,1.5,2.1
43,6.95,Willyan Portimonense,26, D(C),29(3),2422,-,2,1.0,0.3,0.3,1.4,-,0.1,0.4
44,6.95,Ricardo Esgaio Braga,28, D(R),32,2871,1,3,0.4,1.3,0.3,0.7,0.7,0.3,0.7
45,6.94,Zouhair Feddal Sporting,31, D(C),28,2411,2,3,1.0,0.5,0.1,0.4,-,0.1,0.5
46,6.94,Fábio Pacheco Moreirense,33, D(C),30,2585,-,1,0.4,0.2,0.1,1.1,-,0.4,0.9
47,6.93,Maurício Antônio Portimonense,29, D(C),33,2938,1,-,0.3,0.1,0.1,0.4,-,0.1,0.4
48,6.92,Oleg Reabciuk Pacos de Ferreira,23, D(L),11,990,2,1,0.9,1.0,0.5,2.4,0.2,0.6,1.6
49,6.92,Bruno Costa Pacos de Ferreira,24, AM(C),30(1),2470,4,3,1.3,1.4,1.2,2.1,-,0.8,1.4
50,6.92,Fahd Moufi Portimonense,25, D(R),25(1),2158,-,4,0.3,0.8,0.8,1.8,0.1,0.5,1.5
51,6.91,Nuno Sequeira Braga,31, D(CL),24(2),2055,-,2,0.3,0.8,0.5,1.3,-,0.5,0.9
52,6.91,Pepe Porto,38, D(C),26(1),2187,2,1,0.4,0.2,0.1,0.7,0.1,0.1,0.2
53,6.91,Gideon Mensah Vitoria de Guimaraes,23, D(L),22,1832,-,-,0.2,0.5,1.7,0.7,0.1,1,1.5
54,6.91,Léo Andrade Maritimo,23, D(C),21,1856,1,1,0.5,0.1,0.2,0.3,-,-,0.3
55,6.9,Ricardo Ferreira Portimonense,31, GK,5,389,-,-,-,-,0.2,-,-,-,-
56,6.9,João Mário Sporting,28, M(CLR),24(4),1992,2,1,0.8,1.2,1.7,1.4,-,1.1,1.5
57,6.9,Hidemasa Morita Santa Clara,26, DMC,20,1800,2,1,0.5,0.4,1.2,0.5,0.1,0.7,1.4
58,6.9,Jan Vertonghen Benfica,34, D(CL),26(2),2406,-,-,0.7,0.1,0.2,0.5,-,0.1,0.3
59,6.9,Daniel Guimarães Nacional,34, GK,14,1260,-,-,-,-,-,0.1,-,-,-
60,6.9,Rúben Lima Belenenses SAD,32, D(CL),32(1),2863,-,4,0.6,1.2,0.9,1.1,0.1,0.7,1.6
61,6.89,Nicolás Otamendi Benfica,33, D(C),27,2430,1,-,0.7,0.1,0.1,0.9,-,0.3,0.5
62,6.89,Mario González Tondela,25, FW,25(2),2137,15,2,2.1,0.3,0.7,1.2,0.6,1,2.3
63,6.88,Aderllan Santos Rio Ave,32, D(C),32,2792,2,-,0.8,0.1,0.1,0.6,-,0.1,0.3
64,6.88,Luís Neto Sporting,33, D(C),20(2),1692,-,1,0.2,0.2,0.1,1.0,-,0.2,0.4
65,6.87,Darwin Núñez Benfica,22, AM(L),19(10),1793,6,9,2,1.2,0.9,0.9,0.7,1.2,2.6
66,6.87,Helton Leite Benfica,31, GK,15,1350,-,-,-,-,0.1,0.1,-,-,0.1
67,6.87,Óscar Estupiñán Vitoria de Guimaraes,25, FW,21(2),1780,8,2,1.9,0.3,0.2,1.1,0.7,0.9,2.5
68,6.87,André André Vitoria de Guimaraes,32, M(C),32,2619,6,3,1,0.6,1.5,2.6,0.1,1.1,0.9
69,6.86,Ricardo Horta Braga,27, AM(CLR),30(2),2480,9,3,2.3,1.3,0.7,1.3,0.3,0.8,1.4
70,6.86,Nuno Santos Sporting,26, M(CLR),23(8),1920,7,6,1.1,1.4,0.7,1.0,0.1,0.4,1.1
71,6.86,Zainadine Júnior Maritimo,33, D(C),28,2466,1,-,0.7,0.3,0.6,1.2,-,0.3,0.3
72,6.86,Getterson Maritimo,30, AM(R),2,180,-,-,0.5,-,0.5,1.5,-,0.5,2.0
73,6.85,Pizzi Benfica,32, M(CLR),19(13),1856,6,4,1.3,1.5,0.5,0.8,0.3,0.7,1.1
74,6.85,Falaye Sacko Vitoria de Guimaraes,26, D(R),28,2482,-,1,0.4,0.8,0.7,0.8,0.1,0.7,1.0
75,6.85,Rúben Vinagre Famalicao,22, D(L),20,1649,-,3,0.4,1.2,2,1.4,0.1,1.1,1.7
76,6.85,Pedro Trigueira Tondela,33, GK,16(1),1516,-,-,-,-,-,0.4,-,-,0.2
77,6.84,Gabriel Pires Benfica,28, M(C),10(10),1031,1,2,0.4,0.4,1.1,1.5,-,0.6,0.7
78,6.84,Ricardo Quaresma Vitoria de Guimaraes,38, AM(CLR),17(11),1623,4,5,1.5,1.7,1.3,1.7,0.1,0.6,1.4
79,6.84,Bruno Viana Braga,26, D(C),13,1111,2,-,0.7,-,0.1,0.5,-,0.1,0.3
80,6.84,Ruben Lameiras Famalicao,26, M(LR),11,879,4,1,1.5,0.9,1.5,1.6,0.2,1.1,1.9
81,6.83,Alberth Elis Boavista,25, AM(LR),28(3),2550,8,6,1.6,1,1.3,1.8,0.6,1.7,2.8
82,6.83,Castro Braga,33, M(C),20(1),1438,2,3,1,0.6,0.3,1.0,-,0.5,1
83,6.83,Claudio Winck Maritimo,27, D(R),28(1),2488,-,5,0.8,0.8,1,1.1,0.1,0.5,1.2
84,6.83,Lucas Fernandes Portimonense,24, M(CL),7,579,-,2,0.9,1.9,1.3,1.6,0.1,0.9,0.9
85,6.83,Kalindi Nacional,28, D(R),14,1216,-,-,0.2,0.7,1.7,2.8,0.3,0.9,2.4
86,6.82,Maracás Pacos de Ferreira,27, D(C),23,1994,-,-,0.3,0.1,0.2,0.3,0.1,0.1,0.5
87,6.82,Stephen Eustáquio Pacos de Ferreira,24, DMC,32,2805,2,1,0.7,0.9,0.6,0.9,-,0.7,0.9
88,6.82,Gustavo Sauer Boavista,28, M(CLR),28(4),2099,2,1,1.4,1.2,1.4,1.7,-,1.1,1.4
89,6.82,Luís Maximiano Sporting,22, GK,2,156,-,-,-,-,-,1.0,-,-,-
90,6.82,Diogo Gonçalves Benfica,24, D(R),12(9),1181,1,5,0.4,0.9,0.9,0.6,-,0.3,0.9
91,6.82,Fábio Abreu Moreirense,28, FW,3,270,2,-,2.3,0.3,-,3.3,-,0.7,2
92,6.81,Rodrigo Pinho Maritimo,30, FW,13(5),1237,9,-,2.1,0.3,1.1,1.4,0.8,0.9,1.3
93,6.81,Amir Abedzadeh Maritimo,28, GK,29,2610,-,-,-,-,-,0.3,-,-,0.1
94,6.81,Stanislav Kritsyuk Belenenses SAD,30, GK,27,2314,-,-,-,-,-,0.3,-,-,0.1
