,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
28,Paulinho Sporting,29, FW,,13(1),1073,0.8,0.1,1.3,-,0.6,0.5,0.1,-,7.02
29,Mateus Uribe Porto,30, DMC,,30(1),2556,2.1,1.6,1.9,0.1,0.8,1.8,0.3,-,7.01
30,Joao Ferreira Benfica,20, Defender,,1,90,3,1,-,-,1,2,-,-,7.01
31,Carlos Mané Rio Ave,27, AM(LR),FW,27(5),2367,1.3,0.9,1.1,0.1,0.5,0.7,-,-,7.0
32,Pedro Amador Moreirense,22, D(L),,4,334,2.3,3,1.5,0.3,2.5,1.3,0.5,-,6.99
33,Matous Trmal Vitoria de Guimaraes,23, GK,,3,270,-,-,-,-,0.3,-,-,-,6.99
34,Dener Portimonense,29, M(CR),FW,32,2785,1.8,2,2,-,1.7,1.5,0.4,-,6.99
35,Wilson Manafá Porto,27, D(LR),,31,2707,1.3,1,1.3,0.3,1,0.8,0.2,-,6.98
36,Guilherme Braga,20, Defender,,1,90,-,-,1,1,5,-,-,-,6.98
37,Rochinha Vitoria de Guimaraes,26, AM(CLR),FW,23(10),1967,0.6,0.7,0.7,-,0.2,0.5,-,-,6.97
38,Paulinho Boavista,24, M(CLR),,30(1),2686,2.8,1.4,2.7,-,0.5,2.1,0.1,-,6.97
39,Luciano Vietto Sporting,27, AM(CLR),FW,2(1),170,0.7,-,1,-,-,1.7,-,-,6.96
40,Luis Díaz Porto,24, AM(L),,16(14),1638,0.9,0.4,1.7,-,0.1,0.7,-,-,6.96
41,Douglas Tanque Pacos de Ferreira,28, FW,,29(2),2463,0.8,0.2,2.4,-,0.9,0.6,0.1,-,6.96
42,Gil Dias Famalicao,25, D(L),M(LR),26(5),2366,2.0,1.3,0.9,-,0.8,0.9,0.1,-,6.96
43,Willyan Portimonense,26, D(C),DMC,29(3),2422,2.0,2.0,1.9,0.2,3.2,1.3,0.5,-,6.95
44,Ricardo Esgaio Braga,28, D(R),M(R),32,2871,2.2,1.5,1.4,0.1,1.6,1.3,0.3,-,6.95
45,Zouhair Feddal Sporting,31, D(C),,28,2411,0.9,1.6,1.4,0.7,2.0,0.3,0.4,-,6.94
46,Fábio Pacheco Moreirense,33, D(C),DMC,30,2585,3.5,2.7,1.4,0.1,1.8,1.7,0.8,-,6.94
47,Maurício Antônio Portimonense,29, D(C),,33,2938,1.6,3.0,1.0,0.2,4.2,0.5,0.4,-,6.93
48,Oleg Reabciuk Pacos de Ferreira,23, D(L),M(L),11,990,1.8,1.6,2.1,0.3,1.6,0.7,0.2,-,6.92
49,Bruno Costa Pacos de Ferreira,24, AM(C),,30(1),2470,1.5,0.9,1.7,-,0.2,1.1,0.2,-,6.92
50,Fahd Moufi Portimonense,25, D(R),,25(1),2158,2,1.8,1.6,0.1,1.8,0.4,0.1,-,6.92
51,Nuno Sequeira Braga,31, D(CL),M(L),24(2),2055,2.2,1.9,1.5,0.3,1.4,1.2,-,-,6.91
52,Pepe Porto,38, D(C),,26(1),2187,1.2,0.9,0.8,0.6,2.7,0.2,0.5,-,6.91
53,Gideon Mensah Vitoria de Guimaraes,23, D(L),M(L),22,1832,2.8,1.4,1.5,0.1,1.7,1,0.2,-,6.91
54,Léo Andrade Maritimo,23, D(C),,21,1856,1.1,2,1,0.3,4.1,0.8,0.9,-,6.91
55,Ricardo Ferreira Portimonense,31, GK,,5,389,-,-,-,-,0.6,-,-,-,6.9
56,João Mário Sporting,28, M(CLR),,24(4),1992,1,0.7,1.2,-,0.1,0.9,-,-,6.9
57,Hidemasa Morita Santa Clara,26, DMC,,20,1800,2,1.3,1.8,-,1.5,1.4,0.4,-,6.9
58,Jan Vertonghen Benfica,34, D(CL),,26(2),2406,1,1.4,0.8,0.6,2.6,0.3,0.3,-,6.9
59,Daniel Guimarães Nacional,34, GK,,14,1260,-,-,-,-,1.7,-,-,-,6.9
60,Rúben Lima Belenenses SAD,32, D(CL),M(L),32(1),2863,1.5,1.7,0.8,0.2,2.0,0.8,0.1,-,6.9
61,Nicolás Otamendi Benfica,33, D(C),,27,2430,2.1,2.6,1.7,0.9,2.7,0.7,0.4,-,6.89
62,Mario González Tondela,25, FW,,25(2),2137,0.2,0.2,0.7,-,0.5,0.4,-,-,6.89
63,Aderllan Santos Rio Ave,32, D(C),,32,2792,1.5,1.8,1.4,0.7,4.0,0.5,0.8,-,6.88
64,Luís Neto Sporting,33, D(C),,20(2),1692,1.6,2.1,1,0.5,2.0,0.8,0.3,1,6.88
65,Darwin Núñez Benfica,22, AM(L),FW,19(10),1793,0.3,0.1,1,-,0.3,0.3,-,-,6.87
66,Helton Leite Benfica,31, GK,,15,1350,-,-,-,-,0.8,-,-,-,6.87
67,Óscar Estupiñán Vitoria de Guimaraes,25, FW,,21(2),1780,0.5,0.2,2,-,0.8,0.4,-,-,6.87
68,André André Vitoria de Guimaraes,32, M(C),,32,2619,1.5,1,2,-,0.7,1,0.1,-,6.87
