,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Carlos Vela Los Angeles FC,32, M(CLR),FW,33,2906,11,2.9,31.1,75.3,1.7,1.1,0.2,8.48
1,Zlatan Ibrahimovic L.A. Galaxy,40, FW,,31,2790,8,1.6,33.1,71.2,0.1,1.3,0.1,8.0
2,Cristian Pavón L.A. Galaxy,25, AM(LR),FW,13,1155,5,2.4,38.8,77.4,0.5,2.2,0.4,7.7
3,Eduard Atuesta Los Angeles FC,24, DMC,,32,2816,8,1.6,79.0,86.6,0.3,4.1,0.3,7.57
4,Kacper Przybylko Philadelphia,28, FW,,25(1),2242,4,1.0,31.0,73.9,-,0.4,-,7.51
5,Nicolás Lodeiro Seattle,32, M(CLR),FW,32,2890,11,3.2,63.6,76.8,2.3,3.0,0.3,7.46
6,Alejandro Pozuelo Toronto,30, M(CR),FW,32(2),2914,10,2.8,56.3,84.3,1.2,2.6,0.2,7.41
7,Josef Martínez Atlanta United,28, AM(L),FW,32,2851,3,1.0,20.0,80.8,-,0.7,0.1,7.39
8,Diego Rossi Los Angeles FC,23, AM(CLR),FW,35(1),3082,8,1.4,31.4,82.7,0.1,0.3,-,7.38
9,Mark-Anthony Kaye Los Angeles FC,26, M(C),,27(5),2548,8,1.6,60.4,83.9,0.1,2.7,0.2,7.32
10,Ján Gregus Minnesota United,30, M(C),,31,2769,8,2.2,58.8,85.7,1.6,5.1,0.1,7.31
11,Carles Gil New England,28, AM(CR),,35,3145,12,3.2,55.3,81.9,1.4,3.7,0.3,7.3
12,Kei Kamara Colorado,37, AM(LR),FW,29,2542,1,0.7,24.9,71.4,0.1,0.4,-,7.3
13,Jamiro Monteiro Philadelphia,27, M(C),,24(4),2258,7,1.6,50.4,87.6,0.6,2.1,0.2,7.29
14,Diego Valeri Portland,35, AM(CLR),FW,29(3),2631,8,4.0,42.2,77.5,2.8,1.9,0.1,7.29
15,Nani Orlando City,35, M(CLR),FW,26(4),2279,5,2.3,41.8,79.8,0.9,2.1,0.1,7.29
16,Diego Rubio Colorado,28, AM(C),FW,25(1),2066,4,1.4,25.1,74.2,0.2,1.8,0.1,7.28
17,Gustavo Bou New England,31, AM(C),FW,14(1),1246,1,1.3,29.1,71.6,0.2,1.6,0.1,7.26
18,Sebastián Blanco Portland,33, AM(CLR),,29(2),2604,11,2.7,49.5,74.0,1.2,4.1,0.2,7.25
19,Jonathan dos Santos L.A. Galaxy,31, M(CR),,31,2726,3,1.5,68.5,92.2,1.2,4.4,-,7.24
20,Wayne Rooney DC United,36, M(CLR),FW,28(1),2427,7,2.6,38.0,77.0,2.4,4.1,-,7.24
21,Rod Fanni Montreal,39, D(CR),,3,270,-,-,44.3,86.5,-,4.0,-,7.24
22,Maximiliano Moralez New York City FC,34, AM(CLR),FW,29(1),2527,13,3.3,52.8,79.2,1.1,4.9,0.1,7.24
23,Pedro Santos Columbus,33, D(L),M(CLR),30(3),2766,5,1.9,31.7,68.5,1.4,1.9,0.1,7.24
24,Raúl Ruidíaz Seattle,31, FW,,24(2),2186,5,1.1,18.7,84.6,-,0.8,-,7.24
25,Ryan Hollingshead FC Dallas,30, D(LR),M(LR),34(1),3081,1,0.7,46.2,82.6,0.4,2.1,-,7.22
26,Ezequiel Barco Atlanta United,22, AM(CLR),FW,14(4),1232,3,2.1,31.4,83.7,1.1,1.2,0.2,7.21
27,Cristian Espinoza San Jose,26, AM(LR),,30,2533,10,2.8,38.3,79.2,1.5,2.5,-,7.2
28,Julian Gressel Atlanta United,27, D(R),M(CR),34(2),2965,12,2.2,37.3,75.0,1.5,2.1,0.3,7.19
29,Jefferson Savarino Salt Lake,25, AM(CLR),,29(1),2506,5,1.4,29.4,80.5,0.8,1.4,-,7.19
30,Valeri Qazaishvili San Jose,28, AM(CLR),FW,24(8),2099,5,1.2,26.6,84.6,0.1,0.8,-,7.19
31,Latif Blessing Los Angeles FC,24, D(R),M(CLR),31(5),2824,3,1.2,42.8,84.7,0.1,0.8,0.1,7.19
32,Johnny Russell Kansas City,31, AM(LR),FW,24(4),2115,6,2.3,25.4,71.2,1.5,1.8,0.1,7.18
33,Jorge Moreira Portland,31, D(R),,26(1),2323,2,1.3,44.6,79.9,0.9,3.6,-,7.18
34,Jimmy Maurer FC Dallas,33, GK,,2,180,-,-,26.0,80.8,-,5.5,-,7.17
35,Jordan Morris Seattle,27, AM(LR),FW,28(2),2396,6,0.9,24.9,77.4,0.1,0.8,-,7.16
36,Michael Barrios FC Dallas,30, AM(CLR),FW,32(1),2852,14,2.7,27.1,78.7,1.2,0.6,-,7.16
37,Bojan Montreal,31, AM(CLR),FW,7(1),608,-,0.9,27.6,81.9,0.3,0.9,-,7.16
38,Cristian Roldan Seattle,26, M(CR),,33,2928,4,1.2,52.7,84.9,0.4,4.2,-,7.16
39,Ali Adnan Vancouver,27, D(L),M(L),28,2412,3,1,42.3,76.4,1,1.9,-,7.15
40,Alexandru Mitrita New York City FC,26, AM(CL),,25(5),2225,2,1,26.0,75.4,0.5,1.1,0.1,7.15
41,Aleksandar Katai Chicago,30, AM(CLR),,24(5),2106,6,1.2,28.4,80.8,0.6,0.9,-,7.14
42,Jozy Altidore Toronto,32, FW,,18(5),1713,5,1,20.7,77.1,0.1,0.9,-,7.14
43,Marc Rzatkowski New York,31, M(CR),,27(2),2439,3,2.1,40.5,73.2,1.7,1.1,0.1,7.14
44,Romain Métanire Minnesota United,31, D(R),,28,2520,4,1.7,45.0,76.5,1.3,2.4,0.1,7.13
45,Alberth Elis Houston,25, AM(LR),FW,22(4),1921,8,1.5,19.6,72.1,0.1,0.3,0.2,7.13
46,Héber New York City FC,30, AM(L),FW,18(5),1607,3,1.2,21.4,75.1,-,0.6,-,7.12
47,Donovan Pines DC United,23, D(C),,9(1),785,1,0.7,31.9,80.9,-,1.5,-,7.12
48,Felipe Gutiérrez Kansas City,31, DMC,,31(1),2723,1,1.6,46.9,85.9,0.5,3.1,0.2,7.11
49,Maxime Crépeau Vancouver,27, GK,,26,2340,-,-,31.2,67.3,-,8.3,-,7.11
50,Damir Kreilach Salt Lake,32, M(C),FW,34,2820,4,1.1,46.4,80.6,-,2.9,0.1,7.1
51,Francisco Calvo Minnesota United,29, D(CL),,7,630,-,0.6,34.7,67.5,0.3,2.7,-,7.09
52,Pity Martínez Atlanta United,28, AM(CLR),,28(6),2320,9,2.1,34.6,72.3,1.1,2.2,0.3,7.09
53,Valentín Castellanos New York City FC,23, AM(R),FW,24(7),2144,6,1.1,17.2,67.9,0.1,0.4,-,7.09
54,Albert Rusnák Salt Lake,27, AM(CLR),FW,30(1),2637,3,2.5,40.3,88.1,1,3.6,0.1,7.08
55,Magnus Eriksson San Jose,31, AM(CR),,32,2807,7,3.2,50.0,82.5,1.3,2.7,0.1,7.08
56,Darwin Quintero Minnesota United,34, AM(CL),FW,26(5),2241,6,1.8,28.2,69.8,0.5,1.6,0.3,7.08
57,Jasser Khmiri Vancouver,24, D(C),,1,90,-,-,19.0,84.2,-,1.0,-,7.07
58,Kyle Duncan New York,24, D(LR),M(R),13,1080,2,0.8,32.2,65.2,0.2,0.9,-,7.07
59,C.J. Sapong Chicago,32, AM(LR),FW,29(3),2551,1,0.9,18.9,68.0,-,0.1,0.1,7.07
60,Matt Turner New England,27, GK,,21,1856,-,-,21.6,57.5,-,5.9,-,7.06
61,Francisco Calvo Chicago,29, D(CL),,21(2),1936,1,0.6,52.5,81.0,0.1,4.5,-,7.06
62,Saphir Taïder Montreal,29, M(CL),,31(1),2729,7,1.9,53.0,86.4,1.4,5.1,-,7.05
63,Frédéric Brillant DC United,36, D(C),,34(1),3082,2,0.3,38.5,81.9,-,2.0,-,7.04
64,Miles Robinson Atlanta United,24, D(C),,33(1),2978,-,0.1,56.7,87.0,-,2.9,-,7.04
65,Nicolás Gaitán Chicago,33, M(CLR),FW,25(2),2017,11,2.3,32.8,69.3,1.6,2.1,0.2,7.04
66,Ike Opara Minnesota United,32, D(C),,30(1),2657,1,0.3,36.1,81.4,-,2.0,-,7.04
67,Adama Diomande Los Angeles FC,31, AM(L),FW,15(12),1506,5,0.8,12.8,72.8,-,0.1,-,7.03
68,Lucas Rodríguez DC United,24, M(CLR),,32(2),2828,3,0.8,28.6,85.6,0.2,1.4,-,7.02
69,Ronald Matarrita New York City FC,27, D(L),M(L),25,2071,1,1.2,44.9,79.2,1.1,1.8,-,7.01
70,Jack Price Colorado,28, DMC,,25(2),2233,10,2.9,45.3,86.1,2.2,4.1,-,7.0
71,Przemyslaw Frankowski Chicago,26, M(CLR),,24(7),2301,7,1.6,28.8,80.0,0.5,1.3,-,7.0
72,Gustav Svensson Seattle,34, D(C),DMC,25(1),2205,2,0.6,52.6,84.6,-,5.0,-,7.0
73,Ryan Meara New York,31, GK,,1,90,-,-,27.0,29.6,-,6.0,-,6.99
74,Leandro González Pirez Atlanta United,29, D(C),,34,2971,-,0.4,63.0,84.3,-,6.6,-,6.99
75,Alexander Ring New York City FC,30, D(C),M(CLR),32,2880,4,1,66.3,83.5,0.1,6.8,-,6.99
76,Sebastian Lletget L.A. Galaxy,29, M(CLR),,29(2),2498,5,1.1,47.8,90.5,0.8,1.9,-,6.99
77,Carlos Coronel Philadelphia,24, GK,,3(1),319,-,-,20.0,51.2,-,6.5,-,6.98
78,Daniel Royer New York,31, AM(CLR),FW,27(5),2419,8,1,25.2,68.2,0.2,0.3,-,6.98
79,Steven Birnbaum DC United,30, D(C),,35,3152,-,0.1,42.2,79.8,-,2.2,-,6.98
80,Haris Medunjanin Philadelphia,36, M(C),,36,3270,5,2.1,75.2,84.5,1.7,4.9,0.2,6.98
81,Wilfried Moimbé Minnesota United,33, D(L),,4,336,-,0.3,25.3,68.3,-,1.5,-,6.98
82,Raheem Edwards Chicago,26, D(L),M(CLR),2(2),244,-,1,29.8,81.5,0.3,1,-,6.97
83,Kevin Molino Minnesota United,31, AM(CLR),,12(6),1000,4,1.2,24.8,76.7,0.2,0.9,0.2,6.97
84,Bill Hamid DC United,30, GK,,34,3090,-,-,22.7,56.5,-,5.5,-,6.97
85,Darlington Nagbe Atlanta United,31, M(CLR),,35(1),3095,4,1,52.2,92.3,-,2.3,0.1,6.97
86,Paxton Pomykal FC Dallas,21, AM(CLR),,20(6),1922,2,1.6,40.1,86.5,0.7,2.4,-,6.97
87,Chase Gasper Minnesota United,25, D(L),,15(1),1383,-,0.9,34.8,79.9,0.5,2.1,-,6.96
88,Francis Atuahene FC Dallas,25, Forward,,0(1),26,-,-,3.0,100.0,-,-,-,6.96
89,Justin Meram Atlanta United,32, M(CLR),FW,15(6),1335,-,1.5,30.0,74.4,0.2,0.8,-,6.96
90,Diedie Traore L.A. Galaxy,22, Defender,,3(1),221,-,0.8,23.8,70.5,0.5,1.0,-,6.96
91,Steve Clark Portland,35, GK,,25,2250,-,-,27.2,70.3,-,7.5,-,6.96
92,Christian Ramírez Houston,30, FW,,7(3),673,1,0.9,16.9,79.9,-,0.6,-,6.95
93,Mauricio Pereyra Orlando City,31, M(CLR),,5(1),395,3,2.2,39.2,77.9,1.2,1.7,0.8,6.94
94,Maxime Chanot New York City FC,31, D(C),,32,2880,-,0.2,54.5,84.0,-,3.8,-,6.94
95,Brian Fernández Portland,27, FW,,16(3),1412,1,1.3,15.3,76.3,0.1,0.5,-,6.94
96,Ilsinho Philadelphia,36, AM(CR),,7(23),1184,5,1.2,23.9,84.1,0.1,0.3,0.1,6.93
97,Perry Kitchen L.A. Galaxy,29, DMC,,8(2),741,-,0.4,29.3,87.0,0.1,1.1,0.1,6.93
98,Michael Boxall Minnesota United,33, D(C),,30,2667,-,0.2,35.2,84.8,-,1.5,-,6.92
99,Mauro Manotas Houston,26, AM(LR),FW,28(4),2540,7,1.3,20.3,78.7,-,0.4,0.1,6.92
100,Michael Murillo New York,25, D(CR),,18(4),1694,3,0.8,33.2,67.3,0.4,0.9,-,6.92
101,Clément Diop Montreal,28, GK,,2,180,-,-,24.5,51.0,-,4.5,-,6.91
102,Kelvin Leerdam Seattle,31, D(CLR),DMC,31(2),2774,2,0.7,38.1,79.1,0.2,1.7,0.1,6.91
103,Andre Shinyashiki Colorado,24, AM(CLR),FW,18(13),1671,3,0.8,16.0,69.4,0.1,0.4,-,6.91
104,David Accam Philadelphia,31, AM(LR),FW,4(4),338,2,0.5,10.1,74.1,-,0.1,-,6.91
105,Clint Irwin Colorado,32, GK,,9(2),900,-,0.1,23.5,50.2,-,7.1,-,6.91
106,Anton Tinnerholm New York City FC,30, D(LR),M(R),31,2723,7,1.1,42.8,74.4,0.6,1.8,-,6.91
107,Bastian Schweinsteiger Chicago,37, D(C),M(C),30,2676,3,0.6,61.8,87.2,-,6.7,-,6.9
108,Osvaldo Alonso Minnesota United,36, DMC,,28,2458,1,0.6,55.4,92.3,-,4.1,-,6.9
109,Sean Davis New York,28, M(CR),,28(3),2607,1,0.7,49.5,77.5,0.6,1.5,-,6.9
110,Will Johnson Orlando City,34, D(R),M(CR),20(1),1698,1,0.6,42.1,86.8,0.1,2.8,-,6.9
111,Brandon Bye New England,25, D(LR),,31,2747,2,0.8,31.2,67.5,0.6,1.1,-,6.9
112,Walker Zimmerman Los Angeles FC,28, D(C),,26(1),2290,-,0.2,51.3,85.2,-,2.6,-,6.9
113,Gyasi Zardes Columbus,30, M(LR),FW,28,2478,2,1.0,17.2,72.2,-,0.2,-,6.9
114,Florian Jungwirth San Jose,32, D(CR),DMC,30,2671,1,0.2,58.1,87.0,-,5.3,-,6.9
115,Joe Corona L.A. Galaxy,31, DMC,,26(5),2325,1,0.6,50.6,86.9,0.2,2.1,-,6.89
