,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,8.48,Carlos Vela Los Angeles FC,32, M(CLR),33,2906,36,11,5.1,2.9,2.8,2.8,0.8,2.3,2.1
1,8.0,Zlatan Ibrahimovic L.A. Galaxy,40, FW,31,2790,31,8,5.1,1.6,0.8,1.0,1.5,0.8,2.8
2,7.7,Cristian Pavón L.A. Galaxy,25, AM(LR),13,1155,4,5,2.8,2.4,2.7,1.2,0.2,1.4,2.8
3,7.57,Eduard Atuesta Los Angeles FC,24, DMC,32,2816,4,8,1.4,1.6,2.3,1.5,-,1.4,1.5
4,7.51,Kacper Przybylko Philadelphia,28, FW,25(1),2242,15,4,3.1,1.0,1.2,0.9,0.6,1.2,2.4
5,7.46,Nicolás Lodeiro Seattle,32, M(CLR),32,2890,9,11,2.0,3.2,0.8,3.9,0.2,2.9,3.0
6,7.41,Alejandro Pozuelo Toronto,30, M(CR),32(2),2914,14,10,2.5,2.8,2.2,1.8,0.2,2.5,2.7
7,7.39,Josef Martínez Atlanta United,28, AM(L),32,2851,28,3,4.0,1.0,1.0,1.0,0.8,0.9,1.5
8,7.38,Diego Rossi Los Angeles FC,23, AM(CLR),35(1),3082,17,8,3.1,1.4,1.8,1.1,0.7,1.5,2.6
9,7.32,Mark-Anthony Kaye Los Angeles FC,26, M(C),27(5),2548,4,8,1.1,1.6,1.8,1.4,0.1,1.9,1.8
10,7.31,Ján Gregus Minnesota United,30, M(C),31,2769,2,8,2.0,2.2,0.8,0.8,-,0.6,1.0
11,7.3,Carles Gil New England,28, AM(CR),35,3145,10,12,1.9,3.2,2.1,2.6,0.1,1.7,2.4
12,7.3,Kei Kamara Colorado,37, AM(LR),29,2542,14,1,3.2,0.7,1.4,1.6,0.3,1.9,3.3
13,7.29,Jamiro Monteiro Philadelphia,27, M(C),24(4),2258,4,7,2.0,1.6,2.4,1.6,0.3,1.7,1.8
14,7.29,Diego Valeri Portland,35, AM(CLR),29(3),2631,8,8,2.7,4.0,1.0,1.0,0.4,1.2,1.9
15,7.29,Nani Orlando City,35, M(CLR),26(4),2279,12,5,2.1,2.3,2.2,1.2,0.2,1.5,2.2
16,7.28,Diego Rubio Colorado,28, AM(C),25(1),2066,11,4,1.9,1.4,1.5,2.4,0.2,1.6,2.2
17,7.26,Gustavo Bou New England,31, AM(C),14(1),1246,9,1,4.3,1.3,2.0,0.9,0.8,2.2,2.4
18,7.25,Sebastián Blanco Portland,33, AM(CLR),29(2),2604,6,11,3.5,2.7,1.7,0.9,0.1,1.6,2.2
