,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
49,Maxime Crépeau Vancouver,27, GK,,26,2340,-,0.2,-,-,1.2,-,-,-,7.11
50,Damir Kreilach Salt Lake,32, M(C),FW,34,2820,1,0.5,1,-,1.4,0.5,0.2,-,7.1
51,Francisco Calvo Minnesota United,29, D(CL),,7,630,3.4,2.7,1.7,0.1,2.4,2.4,0.1,-,7.09
52,Pity Martínez Atlanta United,28, AM(CLR),,28(6),2320,1,0.2,0.6,-,-,0.9,-,-,7.09
53,Valentín Castellanos New York City FC,23, AM(R),FW,24(7),2144,0.5,0.3,1.7,-,0.6,0.5,0.1,-,7.09
54,Albert Rusnák Salt Lake,27, AM(CLR),FW,30(1),2637,0.5,0.2,0.4,-,0.3,0.3,-,-,7.08
55,Magnus Eriksson San Jose,31, AM(CR),,32,2807,0.9,0.4,1.1,-,0.7,1,0.1,-,7.08
56,Darwin Quintero Minnesota United,34, AM(CL),FW,26(5),2241,1.5,0.2,0.9,-,-,0.7,-,-,7.08
57,Jasser Khmiri Vancouver,24, D(C),,1,90,-,2.0,-,1,19,-,1,-,7.07
58,Kyle Duncan New York,24, D(LR),M(R),13,1080,3.1,2.0,1.6,0.4,1.7,1.1,0.4,-,7.07
59,C.J. Sapong Chicago,32, AM(LR),FW,29(3),2551,0.6,0.3,1.3,-,0.6,0.2,-,-,7.07
60,Matt Turner New England,27, GK,,21,1856,-,0.1,-,-,0.6,-,-,-,7.06
61,Francisco Calvo Chicago,29, D(CL),,21(2),1936,2,1.9,0.9,0.5,2.3,0.8,0.5,-,7.06
62,Saphir Taïder Montreal,29, M(CL),,31(1),2729,1.1,0.5,0.8,-,0.8,0.9,0.1,-,7.05
63,Frédéric Brillant DC United,36, D(C),,34(1),3082,1.6,0.9,0.8,0.3,6.2,0.8,1.1,-,7.04
64,Miles Robinson Atlanta United,24, D(C),,33(1),2978,1.8,1.7,0.7,1,3.6,0.5,0.8,1,7.04
65,Nicolás Gaitán Chicago,33, M(CLR),FW,25(2),2017,1.1,0.3,0.7,-,0.1,1.6,-,-,7.04
66,Ike Opara Minnesota United,32, D(C),,30(1),2657,1.5,1.8,0.6,0.6,5.3,0.5,0.7,-,7.04
67,Adama Diomande Los Angeles FC,31, AM(L),FW,15(12),1506,0.5,0.2,0.7,-,0.3,0.3,-,-,7.03
68,Lucas Rodríguez DC United,24, M(CLR),,32(2),2828,2,0.8,1.1,-,0.6,0.8,0.2,-,7.02
69,Ronald Matarrita New York City FC,27, D(L),M(L),25,2071,2.8,1.7,1.2,0.2,1.1,1.3,0.2,-,7.01
70,Jack Price Colorado,28, DMC,,25(2),2233,1.1,1.5,0.6,0.1,0.7,0.8,0.1,-,7.0
71,Przemyslaw Frankowski Chicago,26, M(CLR),,24(7),2301,1.5,0.6,0.8,0.1,0.8,1.3,0.1,-,7.0
72,Gustav Svensson Seattle,34, D(C),DMC,25(1),2205,2.8,1.3,0.9,-,1.7,1.1,0.6,-,7.0
73,Ryan Meara New York,31, GK,,1,90,-,-,-,-,1.0,-,-,-,6.99
74,Leandro González Pirez Atlanta United,29, D(C),,34,2971,2.3,1.9,1.6,0.5,2.5,0.7,0.5,-,6.99
75,Alexander Ring New York City FC,30, D(C),M(CLR),32,2880,2.3,1.4,2.1,0.2,1.8,2.3,0.3,-,6.99
76,Sebastian Lletget L.A. Galaxy,29, M(CLR),,29(2),2498,1.3,0.6,0.6,-,0.8,0.6,0.2,-,6.99
77,Carlos Coronel Philadelphia,24, GK,,3(1),319,-,-,-,-,1.5,-,-,-,6.98
78,Daniel Royer New York,31, AM(CLR),FW,27(5),2419,1.2,0.6,0.5,-,0.4,0.8,0.1,-,6.98
79,Steven Birnbaum DC United,30, D(C),,35,3152,0.6,1.2,1.1,0.4,5.2,0.1,1,-,6.98
80,Haris Medunjanin Philadelphia,36, M(C),,36,3270,1.7,1.0,0.9,-,0.4,1.8,0.1,-,6.98
81,Wilfried Moimbé Minnesota United,33, D(L),,4,336,2.8,2.5,1,-,2.5,1.3,0.5,-,6.98
82,Raheem Edwards Chicago,26, D(L),M(CLR),2(2),244,3.3,0.5,2.3,-,1,1.5,-,-,6.97
83,Kevin Molino Minnesota United,31, AM(CLR),,12(6),1000,1.1,0.6,0.4,-,0.4,0.7,-,-,6.97
84,Bill Hamid DC United,30, GK,,34,3090,-,0.1,-,-,0.8,-,-,1,6.97
85,Darlington Nagbe Atlanta United,31, M(CLR),,35(1),3095,1.1,0.7,0.6,-,0.5,0.3,0.1,-,6.97
86,Paxton Pomykal FC Dallas,21, AM(CLR),,20(6),1922,2.2,0.8,1,-,0.7,1.2,0.2,-,6.97
87,Chase Gasper Minnesota United,25, D(L),,15(1),1383,2.8,1.1,1.8,0.5,2.5,0.8,0.3,-,6.96
88,Francis Atuahene FC Dallas,25, Forward,,0(1),26,-,1.0,-,-,-,1,-,-,6.96
89,Justin Meram Atlanta United,32, M(CLR),FW,15(6),1335,1,0.8,1,-,0.4,1.1,0.1,-,6.96
90,Diedie Traore L.A. Galaxy,22, Defender,,3(1),221,2.3,1.8,0.8,0.8,0.5,0.5,0.3,-,6.96
91,Steve Clark Portland,35, GK,,25,2250,-,-,-,-,0.8,-,-,-,6.96
92,Christian Ramírez Houston,30, FW,,7(3),673,0.8,0.3,-,-,0.5,0.4,0.1,-,6.95
93,Mauricio Pereyra Orlando City,31, M(CLR),,5(1),395,1.5,0.7,1.5,-,0.3,0.5,-,-,6.94
94,Maxime Chanot New York City FC,31, D(C),,32,2880,2,1.6,1,1,5,0.4,0.8,-,6.94
95,Brian Fernández Portland,27, FW,,16(3),1412,0.3,0.1,1.2,-,-,0.3,0.1,-,6.94
96,Ilsinho Philadelphia,36, AM(CR),,7(23),1184,0.7,0.4,0.5,-,0.3,0.3,-,-,6.93
97,Perry Kitchen L.A. Galaxy,29, DMC,,8(2),741,1.7,1.5,1.3,0.2,1.6,0.5,0.5,-,6.93
98,Michael Boxall Minnesota United,33, D(C),,30,2667,1.9,1.7,0.9,0.4,4.1,0.4,0.9,-,6.92
99,Mauro Manotas Houston,26, AM(LR),FW,28(4),2540,0.5,0.1,0.5,-,0.9,0.6,-,-,6.92
100,Michael Murillo New York,25, D(CR),,18(4),1694,2.3,1.7,1.7,0.1,2.5,0.8,0.1,-,6.92
101,Clément Diop Montreal,28, GK,,2,180,0.5,-,-,-,1.0,-,-,-,6.91
102,Kelvin Leerdam Seattle,31, D(CLR),DMC,31(2),2774,2.2,1.2,1.3,0.2,2.4,0.7,0.4,-,6.91
103,Andre Shinyashiki Colorado,24, AM(CLR),FW,18(13),1671,1.4,0.6,0.8,-,0.3,0.8,0.3,-,6.91
104,David Accam Philadelphia,31, AM(LR),FW,4(4),338,0.4,-,0.5,-,0.5,0.3,0.3,-,6.91
105,Clint Irwin Colorado,32, GK,,9(2),900,-,-,-,-,0.7,-,-,-,6.91
106,Anton Tinnerholm New York City FC,30, D(LR),M(R),31,2723,1.5,1.1,0.7,0.6,1.3,0.8,0.3,-,6.91
107,Bastian Schweinsteiger Chicago,37, D(C),M(C),30,2676,1.6,1.4,1,0.4,2.7,0.6,0.6,-,6.9
108,Osvaldo Alonso Minnesota United,36, DMC,,28,2458,1.6,1.1,1.2,0.1,0.8,1.3,0.5,-,6.9
109,Sean Davis New York,28, M(CR),,28(3),2607,2.9,1.7,1,0.1,1.7,1.3,0.3,1,6.9
110,Will Johnson Orlando City,34, D(R),M(CR),20(1),1698,2.1,1,0.6,-,2.4,1.3,0.3,-,6.9
111,Brandon Bye New England,25, D(LR),,31,2747,1.7,1.2,1.2,0.3,2.8,0.8,0.6,-,6.9
112,Walker Zimmerman Los Angeles FC,28, D(C),,26(1),2290,1.9,1.3,1.1,0.6,3.6,0.5,0.4,-,6.9
113,Gyasi Zardes Columbus,30, M(LR),FW,28,2478,0.4,0.3,1,-,0.8,0.3,0.2,-,6.9
114,Florian Jungwirth San Jose,32, D(CR),DMC,30,2671,2.4,2.2,1.3,0.1,3.8,1.0,0.5,-,6.9
115,Joe Corona L.A. Galaxy,31, DMC,,26(5),2325,3.0,1.3,1.4,-,0.6,1.5,0.1,-,6.89
116,Bryan Acosta FC Dallas,27, DMC,,24(3),2194,2.1,1.3,2.5,-,0.7,0.9,0.2,-,6.89
117,Chad Marshall Seattle,37, D(C),,8,720,0.8,1,0.8,0.1,3.6,0.3,1.0,-,6.89
118,Russell Canouse DC United,26, D(CR),DMC,26(1),2269,2.9,1.6,1.4,-,2.0,1.4,0.9,-,6.89
119,Florian Valot New York,28, M(CLR),,2,125,1.5,-,-,-,1.5,0.5,0.5,-,6.89
120,Cristian Cásseres Jr New York,21, M(CR),,22(2),1921,2.6,1.3,2.3,-,0.8,1.8,0.1,-,6.88
121,Jack Elliott Philadelphia,26, D(C),,36,3270,1.4,1.2,0.6,0.6,4.3,0.6,0.8,1,6.88
122,Franco Escobar Atlanta United,26, D(CR),,25(3),2282,2.6,1.4,1.1,0.3,1.3,1.5,0.4,-,6.88
123,Aaron Long New York,29, D(C),,25,2229,1.1,1.3,0.6,1.1,5.3,0.2,0.8,-,6.87
124,Alejandro Bedoya Philadelphia,34, M(CR),FW,34,3036,1.6,1.2,1.3,-,0.9,0.9,0.2,-,6.87
125,David Bingham L.A. Galaxy,32, GK,,35,3150,-,0.1,-,-,0.9,0.1,-,-,6.87
126,Auston Trusty Philadelphia,23, D(C),,22,1966,2.8,1.3,1.4,0.5,4.0,0.5,1,-,6.86
127,Omar González Toronto,33, D(C),,15,1350,0.4,0.7,0.5,0.6,4.5,0.4,1.1,-,6.86
128,Mohamed El-Munir Los Angeles FC,29, D(L),M(L),4(11),582,2.1,0.6,1.1,-,0.5,0.7,0.3,-,6.86
129,Aaron Herrera Salt Lake,24, D(CLR),M(R),33(1),2948,1.9,1.7,1.1,0.2,2.5,0.7,0.6,-,6.86
130,Hwang In-Beom Vancouver,25, M(C),,31(3),2809,1.5,1.6,0.8,-,0.8,0.9,0.2,-,6.86
131,Kenny Saief FC Cincinnati,27, AM(L),,6(3),566,1.6,0.9,1.7,-,0.1,0.4,0.1,-,6.86
132,Dax McCarty Chicago,34, DMC,,32,2850,1.5,1.4,1.1,-,1.4,1.3,0.3,-,6.85
133,Olivier Mbaizo Philadelphia,24, D(R),,2(1),196,0.3,1.0,0.7,-,2.0,0.3,0.3,-,6.85
134,Tesho Akindele Orlando City,29, AM(CLR),FW,22(6),1880,0.8,0.8,0.7,-,0.5,0.6,0.2,1,6.85
135,Keegan Rosenberry Colorado,27, D(CR),M(R),34,3060,2.1,2.4,1.0,0.4,3.0,1.3,0.4,1,6.85
136,Uriel Antuna L.A. Galaxy,24, AM(LR),FW,31(2),2560,1.0,0.8,0.7,-,0.3,0.8,-,-,6.85
137,Cristhian Paredes Portland,23, DMC,,20(3),1742,1.6,1.2,1.3,-,1.1,1.1,0.3,-,6.85
138,Víctor Rodríguez Seattle,32, AM(CLR),,14(6),1236,1.4,0.8,0.4,-,0.3,1.0,0.1,-,6.84
139,Bacary Sagna Montreal,38, D(CR),,25(1),2180,1.5,1.2,0.6,0.2,2.3,0.3,0.2,-,6.84
