,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
51,Edson Álvarez Ajax,24, D(C),DMC,18(6),1551,2,0.4,48.8,85.5,0.1,1.8,-,7.04
52,Mickael Tirpan Fortuna Sittard,28, D(R),DMC,11(1),988,-,0.2,30.7,71.7,0.1,2.3,-,7.02
53,Lutsharel Geertruida Feyenoord,21, D(R),,25(5),2254,2,0.8,39.8,90.0,0.3,2.0,-,7.02
54,Ahmed El Messaoudi FC Groningen,26, M(CR),,25(3),2226,2,1,25.0,75.5,-,1.6,-,7.01
55,Lassina Traoré Ajax,20, FW,,7(5),555,4,0.8,13.1,73.2,-,0.3,0.1,7.0
56,Jonathan Mulder ADO Den Haag,19, Defender,,0(1),45,-,-,5.0,80.0,2,1.0,-,7.0
57,Riechedly Bazoer Vitesse,25, D(C),DMC,29,2457,1,1.1,58.0,88.0,0.4,6.7,-,6.98
58,Albert Gudmundsson AZ Alkmaar,24, AM(CLR),FW,25(1),1977,4,1.2,28.0,80.9,0.2,0.6,0.1,6.97
59,Jurriën Timber Ajax,20, D(CR),,16(4),1509,-,0.4,51.5,88.0,-,1.3,0.1,6.97
60,Kostas Lamprou RKC Waalwijk,30, GK,,34,3060,-,-,40.9,65.5,-,10.2,-,6.97
61,George Cox Fortuna Sittard,23, D(L),,32(1),2825,4,0.9,32.5,67.3,1.2,3,-,6.97
62,André Onana Ajax,25, GK,,20,1800,-,-,33.6,79.9,-,7.2,-,6.97
63,Klaas Jan Huntelaar Ajax,38, FW,,3(8),386,1,0.8,10.6,82.1,-,-,0.2,6.96
64,Sean Klaiber Ajax,27, D(R),M(CR),6(9),754,3,1.2,36.2,89.9,0.3,0.9,-,6.96
65,Bart Nieuwkoop Feyenoord,25, D(R),M(R),12(3),1028,-,0.5,32.5,79.7,0.5,0.9,-,6.96
66,Jan Paul van Hecke SC Heerenveen,21, D(C),,26(2),2324,1,0.5,50.9,83.2,-,3.4,0.1,6.96
67,Tommy St. Jago FC Utrecht,21, D(C),,23(1),2057,-,0.1,56.6,87.4,-,3.6,-,6.95
68,Devyne Rensch Ajax,18, D(R),,12(6),897,2,0.6,26.3,85.4,0.1,0.8,-,6.95
69,Mike Trésor Willem II,22, AM(CL),,28(6),2434,11,2,28.6,75.0,1.1,0.9,-,6.94
70,Ko Itakura FC Groningen,24, D(C),,34,3060,1,0.3,56.9,87.9,-,4.3,-,6.94
71,Azor Matusiwa FC Groningen,23, DMC,,21(1),1729,-,0.3,41.3,83.3,-,4.0,-,6.93
72,Maarten Stekelenburg Ajax,39, GK,,12,1080,-,0.1,28.2,79.3,-,5.8,-,6.93
