,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,8.04,Sean Klaiber FC Utrecht,27, D(R),2,180,1,-,2.5,1,1,0.5,-,1,2.5
1,7.87,Dusan Tadic Ajax,32, AM(CLR),31(3),2612,14,17,2.3,3.8,1.4,1.1,0.3,1.7,1.9
2,7.69,Sébastien Haller Ajax,27, FW,18(1),1570,11,5,2.8,1.2,1.1,2.2,0.6,1.8,3.4
3,7.66,Steven Berghuis Feyenoord,29, AM(CR),30(1),2646,18,12,3.5,2.9,1.4,0.8,0.1,1.5,2.3
4,7.57,Oussama Tannane Vitesse,27, AM(CLR),29,2415,7,9,4.3,3.2,2.6,3.6,0.1,1.9,2.9
5,7.56,Adam Maher FC Utrecht,28, M(CR),25,2181,2,4,1.4,2.5,1.3,2.3,-,1.4,1.6
6,7.44,Gregoire Amiot Fortuna Sittard,26, D(C),0(1),85,-,-,1.0,-,-,-,-,-,2.0
7,7.4,Joey Veerman SC Heerenveen,22, M(CL),30(1),2705,7,10,2.0,1.9,2.3,1.4,-,1.2,1.3
8,7.4,Donyell Malen PSV Eindhoven,22, AM(L),26(6),2455,19,8,3.5,1.1,1.6,0.9,0.6,1.5,2.8
9,7.39,Teun Koopmeiners AZ Alkmaar,23, D(C),31,2705,15,5,1.6,1.1,0.6,0.6,-,0.6,1.1
10,7.38,Ajdin Hrustic FC Groningen,25, M(CLR),1,83,-,-,4.0,1.0,1.0,2.0,-,2.0,1.0
11,7.36,Ibrahim Sangaré PSV Eindhoven,23, DMC,25(4),2281,1,1,0.8,0.7,1.2,0.7,-,0.8,1.4
12,7.3,Giorgos Giakoumakis VVV-Venlo,26, FW,30,2591,26,1,3.2,0.5,0.8,2.7,1.1,1.2,3.7
13,7.29,Ryan Gravenberch Ajax,19, DMC,31(1),2618,3,5,1.5,1.2,1.6,0.8,-,1.1,2.1
14,7.29,Mario Götze PSV Eindhoven,29, M(CLR),17(1),1411,5,6,0.8,1.4,1.4,0.9,0.2,1.2,2.1
15,7.28,Calvin Stengs AZ Alkmaar,22, AM(CR),30,2609,7,5,2.1,1.9,2.1,1.5,0.2,1.8,3.4
16,7.28,Jesper Karlsson AZ Alkmaar,23, AM(LR),31(1),2469,11,9,2.5,1.5,1.1,0.8,-,1.5,1.9
17,7.28,Vaclav Cerny Twente,24, AM(R),16,1198,6,6,2.1,1.8,1.7,0.6,0.5,1.4,2.5
18,7.27,Davy Klaassen Ajax,28, M(CL),27(2),2210,12,3,1.5,1.1,0.6,0.5,0.1,0.4,0.8
19,7.25,Cody Gakpo PSV Eindhoven,22, AM(CL),22(1),1677,7,3,2.0,1.3,2.3,1.6,0.2,1.9,2.3
20,7.24,Abdou Harroui Sparta Rotterdam,23, DMC,32,2775,6,2,2.3,1.2,2.0,1.8,-,2.5,3.2
21,7.21,Gyrano Kerk FC Utrecht,25, AM(LR),33(1),2927,8,4,2.5,1.5,3.3,1.1,0.6,3.0,4.3
22,7.21,Vangelis Pavlidis Willem II,22, AM(L),33(1),2934,12,4,2.8,1.1,2.2,1.7,0.6,2.3,4.9
23,7.2,Marcos Senesi Feyenoord,24, D(C),32,2880,3,2,0.5,0.4,0.8,0.7,-,0.4,1.4
24,7.18,Fredrik Midtsjø AZ Alkmaar,28, M(CR),31,2727,2,5,0.6,1.1,1.8,1.5,0.1,1.4,1.8
25,7.18,Silvester van der Water Heracles,25, AM(R),14(4),1205,3,4,1.7,1.7,2.2,1.8,0.1,1.5,2.8
26,7.16,Philipp Max PSV Eindhoven,28, D(L),29(2),2597,5,8,1.0,2.0,0.4,0.6,0.2,0.3,1.1
27,7.16,Nicolás Tagliafico Ajax,29, D(CL),25,2010,1,3,1.5,1.1,0.4,1.3,0.1,0.4,1.2
28,7.16,Jacob Rasmussen Vitesse,24, D(C),28,2476,2,-,0.7,0.3,0.1,0.5,-,0.1,0.3
29,7.15,Jens Toornstra Feyenoord,32, M(CLR),30(1),2670,8,2,1.5,1.4,1.5,0.5,0.1,0.7,1.4
30,7.14,Eran Zahavi PSV Eindhoven,34, AM(CL),24(1),1999,11,3,3.4,1.1,0.6,0.7,0.4,0.6,2.3
31,7.14,Rai Vloet Heracles,26, AM(C),33,2755,16,7,2.1,1.5,1.6,1.4,0.2,1.8,2.7
32,7.14,Olivier Boscagli PSV Eindhoven,23, D(CL),29(1),2562,2,2,0.6,0.3,0.3,1,-,0.2,0.5
33,7.14,Zian Flemming Fortuna Sittard,23, AM(C),33,2952,12,7,2.8,0.8,1.2,1.2,0.1,1.4,1.7
34,7.13,Antony Ajax,21, AM(R),24(8),1774,9,8,1.8,1.1,1.3,0.9,0.1,0.7,1.1
35,7.12,Denzel Dumfries PSV Eindhoven,25, D(R),27(3),2469,2,6,0.8,1.4,0.9,1.5,0.1,1,2
36,7.12,Maximiliano Romero PSV Eindhoven,22, FW,0(1),1,1,-,1.0,-,-,-,-,-,-
37,7.11,Lennart Thy Sparta Rotterdam,29, AM(C),34,2799,14,3,2.1,1.4,0.6,1.1,0.4,1,2.4
38,7.11,Henk Veerman SC Heerenveen,30, FW,29(2),2637,14,5,2.9,1,0.5,0.3,1,0.6,2.5
39,7.11,Gabriel Gudmundsson FC Groningen,22, D(L),20(3),1646,-,5,1.2,0.8,2.7,1.7,0.2,1.4,1.7
40,7.1,Myron Boadu AZ Alkmaar,20, FW,28(3),2530,15,1,1.5,1.1,1.0,1.3,0.8,2.1,3.3
41,7.1,Sergio Peña FC Emmen,26, AM(CL),32,2803,6,3,1.7,2.0,2.3,1.5,0.1,1.7,2.3
42,7.1,Lisandro Martínez Ajax,23, D(CL),17(9),1750,3,1,1.2,0.4,0.9,0.4,-,0.5,0.6
43,7.09,Daley Blind Ajax,31, D(CL),23,1964,1,1,0.7,0.9,0.9,0.4,-,0.6,0.6
44,7.09,Sander van de Streek FC Utrecht,28, AM(CL),27(5),2462,11,5,2.4,0.8,0.7,1.4,0.1,1.2,1.8
45,7.08,Owen Wijndal AZ Alkmaar,21, D(L),34,3060,1,6,0.9,1.4,1.1,1.2,0.1,0.6,1.1
46,7.08,Noussair Mazraoui Ajax,24, D(R),16(3),1216,-,1,0.6,0.6,1.5,0.8,-,0.5,0.7
47,7.07,Kenneth Paal PEC Zwolle,24, D(L),25(2),2272,-,1,0.6,1.8,1.7,1,0.1,1.1,1.7
48,7.07,Eric Botteghin Feyenoord,34, D(C),18(5),1655,1,-,0.5,0.4,0.1,-,0.1,0.3,0.4
49,7.07,Virgil Misidjan PEC Zwolle,28, AM(LR),13(2),1072,4,3,1.9,1.2,1.9,2.5,0.4,1.9,3.5
50,7.06,Pawel Bochniewicz SC Heerenveen,25, D(C),30(1),2643,2,-,0.4,0.1,0.4,0.6,-,0.1,0.6
51,7.04,Edson Álvarez Ajax,24, D(C),18(6),1551,2,2,1.3,0.4,0.8,0.2,0.1,0.7,1
