,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
54,Alejandro Bedoya Philadelphia,34, M(CR),FW,18,1569,1,1.3,47.2,80.1,0.2,1.6,0.1,7.08
55,Chris Mueller Orlando City,25, AM(LR),,14(5),1227,6,1.4,23.4,86.3,0.6,0.7,0.1,7.08
56,João Moutinho Orlando City,23, D(L),M(L),5,415,1,1.0,45.0,82.2,0.8,3.2,-,7.08
57,Daryl Dike Orlando City,21, FW,,15(2),1223,2,0.4,11.6,71.1,-,0.2,-,7.07
58,Artur Columbus,25, M(C),,18(1),1632,2,0.5,55.1,88.3,0.1,4.9,0.1,7.07
59,Ján Gregus Minnesota United,30, M(C),,15,1329,4,1.6,58.4,87.9,1.3,4.3,-,7.06
60,Maximiliano Moralez New York City FC,34, AM(CLR),FW,9(2),788,4,2.3,48.3,77.8,0.7,4.5,-,7.06
61,Sergio Santos Philadelphia,27, FW,,15(4),1114,2,1.0,13.4,61.2,0.2,0.3,-,7.06
62,Brenden Aaronson Philadelphia,21, AM(CL),,20,1653,3,1.4,22.9,80.7,0.2,0.5,0.1,7.05
63,Marcelino Moreno Atlanta United,27, AM(CLR),,5(1),465,1,1.2,41.0,85.8,1.8,1.5,0.2,7.05
64,Rodolfo Pizarro Inter Miami CF,27, AM(CL),,15(1),1366,4,1.5,32.9,81.9,0.6,1.4,-,7.05
65,Alexander Ring New York City FC,30, D(C),M(CLR),20,1746,4,1.3,52.6,83.6,0.3,3.9,0.2,7.05
66,Djordje Mihailovic Chicago,23, M(CL),,14(4),1132,7,1.4,26.5,76.3,0.8,1.4,0.1,7.04
67,Andre Shinyashiki Colorado,24, AM(CLR),FW,12(2),960,-,1.0,23.4,78.3,0.2,0.8,0.1,7.04
68,Hany Mukhtar Nashville SC,26, AM(C),FW,13(2),1096,3,1.8,28.5,84.8,0.9,0.7,0.1,7.04
69,Jakob Glesnes Philadelphia,27, D(C),,16,1380,-,0.3,43.3,83.1,0.1,6.6,-,7.04
70,Gyasi Zardes Columbus,30, M(LR),FW,17(1),1486,4,0.8,15.1,67.6,-,0.3,-,7.04
71,Jasser Khmiri Vancouver,24, D(C),,2,180,-,-,47.5,89.5,-,3.5,-,7.04
72,Nick Hagglund FC Cincinnati,29, D(CR),,8(2),743,-,0.3,46.9,81.4,0.4,3.1,-,7.03
73,Damir Kreilach Salt Lake,32, M(C),FW,17(1),1524,1,0.4,40.8,81.9,-,2.6,-,7.03
74,Ali Adnan Vancouver,27, D(L),M(L),17(2),1517,3,0.7,34.5,75.5,0.8,2.0,0.1,7.03
75,Joevin Jones Seattle,30, D(L),M(LR),10(2),797,2,0.3,33.0,88.1,0.3,1.5,-,7.03
76,Sebastian Lletget L.A. Galaxy,29, M(CLR),,15(2),1334,3,0.7,31.6,83.6,0.4,0.9,-,7.02
77,Jimmy Maurer FC Dallas,33, GK,,16,1392,-,-,25.6,76.0,-,5.3,-,7.02
78,Cristian Cásseres Jr New York,21, M(CR),,11(5),1111,2,0.6,36.1,77.0,0.3,1.3,-,7.01
79,Aníbal Godoy Nashville SC,31, DMC,,18(2),1495,-,0.5,48.8,91.9,0.1,4.6,-,7.01
80,Jesús Medina New York City FC,24, AM(CR),FW,16(3),1317,2,1.7,28.3,78.2,0.9,1.5,0.1,7.0
81,Anton Tinnerholm New York City FC,30, D(LR),M(R),19(1),1732,4,1.6,47.1,76.7,0.7,1.6,0.1,7.0
82,Kai Wagner Philadelphia,24, D(L),,11,916,2,0.9,36.2,79.4,0.6,3.4,-,7.0
83,Fredy Montero Vancouver,34, AM(C),FW,11(5),1061,2,1.1,28.3,74.4,0.7,2.5,0.4,7.0
84,Randall Leal Nashville SC,24, AM(CLR),,19(2),1616,4,1.0,29.6,78.1,0.6,1.2,-,7.0
85,Diego Chara Portland,35, DMC,,17,1529,5,0.6,58.0,87.5,0.1,3.4,-,7.0
86,Harrison Afful Columbus,35, D(R),M(R),18(1),1615,1,0.8,53.7,82.0,0.8,3.5,0.1,6.99
87,Ronald Matarrita New York City FC,27, D(L),M(L),16(2),1381,2,1.3,40.6,80.2,0.7,1.5,0.1,6.99
88,Gustavo Bou New England,31, AM(C),FW,12(3),1120,1,1.6,21.7,67.8,0.8,1.6,-,6.98
89,Eduard Atuesta Los Angeles FC,24, DMC,,11(3),1058,1,1.0,68.5,85.5,0.3,3.4,0.1,6.98
90,Lalas Abubakar Colorado,26, D(C),,14,1245,-,0.2,56.7,89.5,-,3.6,-,6.98
91,Mauricio Pereyra Orlando City,31, M(CLR),,11(2),858,5,2.0,39.5,82.7,0.7,3.0,0.4,6.98
92,Daniel Lovitz Nashville SC,30, D(L),M(LR),21,1890,2,1.1,37.5,73.1,1.9,3.0,-,6.97
93,Maynor Figueroa Houston,38, D(CL),M(L),17,1530,-,0.2,65.8,86.0,0.2,6.3,-,6.96
94,Latif Blessing Los Angeles FC,24, D(R),M(CLR),15(3),1453,-,1.2,41.8,84.6,0.4,0.7,0.1,6.96
95,José Aja Minnesota United,28, D(C),,9(1),802,-,0.2,32.2,78.0,-,2.3,-,6.96
96,Ilie Sánchez Kansas City,30, D(C),DMC,10(2),990,1,0.8,55.3,80.3,-,5.6,-,6.96
97,Robert Beric Chicago,30, FW,,19(1),1662,1,1.1,19.3,69.9,0.3,0.4,-,6.96
98,Xavier Arreaga Seattle,27, D(C),,9(1),814,1,0.1,57.1,90.5,-,5.2,-,6.95
99,Romain Métanire Minnesota United,31, D(R),,17,1516,2,1.2,45.5,77.5,1.1,2.2,-,6.95
100,Keegan Rosenberry Colorado,27, D(CR),M(R),14(1),1181,1,0.8,45.2,86.4,0.3,4.2,-,6.95
101,Gadi Kinda Kansas City,27, AM(C),FW,14(1),1215,1,1.5,33.6,82.3,0.1,1.6,0.1,6.95
102,Darlington Nagbe Columbus,31, M(CLR),,11(1),975,-,0.6,47.2,94.2,0.3,2.8,-,6.95
103,Diego Rubio Colorado,28, AM(C),FW,10(3),871,3,1.2,25.3,73.9,-,1.2,0.2,6.94
104,Victor Wanyama Montreal,30, DMC,,18,1620,1,0.6,51.4,84.8,-,2.8,0.1,6.94
105,Jaylin Lindsey Kansas City,21, D(LR),,11(1),1059,2,1.3,42.8,80.5,0.6,1.3,-,6.94
106,Aaron Herrera Salt Lake,24, D(CLR),M(R),17,1526,1,0.8,43.6,81.0,0.8,3.5,-,6.94
107,Jesús David Murillo Los Angeles FC,27, D(C),,5,406,1,0.6,49.8,83.1,0.2,3.2,-,6.94
