,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Harry Kane Tottenham,28, AM(C),FW,35,3087,14,1.4,25.9,69.9,0.2,1.9,0.1,7.79
1,Kevin De Bruyne Man City,30, M(CLR),FW,23(2),2001,12,3.2,50.6,81.7,1.6,2.6,0.2,7.65
2,Jack Grealish Aston Villa,26, AM(CL),,24(2),2184,10,3.1,38.3,83.3,0.7,1.2,0.1,7.56
3,Bruno Fernandes Man Utd,27, M(CLR),,35(2),3110,12,2.6,57.1,78.3,1.1,3.8,0.2,7.43
4,Tomas Soucek West Ham,26, DMC,,38,3420,1,0.5,42.3,75.5,-,2.2,-,7.36
5,Mason Mount Chelsea,22, M(CLR),,32(4),2892,5,2.4,47.3,86.5,1.7,1.6,-,7.33
6,Sadio Mané Liverpool,29, AM(CLR),FW,31(4),2813,7,1.7,28.8,78.7,0.3,0.8,-,7.33
7,Riyad Mahrez Man City,30, AM(CLR),,23(4),1955,6,1.6,37.2,88.4,0.7,0.9,-,7.31
8,João Cancelo Man City,27, D(LR),M(R),27(1),2302,3,1.6,66.2,87.1,0.4,2.4,0.1,7.31
9,Gareth Bale Tottenham,32, M(CLR),FW,10(10),923,2,1.1,18.3,73.2,0.6,1.5,0.1,7.3
10,Nathaniel Phillips Liverpool,24, D(C),,15(2),1456,1,0.4,65.7,84.2,-,2.6,-,7.29
11,Ilkay Gündogan Man City,31, M(C),,23(5),2031,2,1.5,61.2,91.7,0.3,1.6,-,7.29
12,Son Heung-Min Tottenham,29, M(CLR),FW,36(1),3127,10,2,28.6,83.4,1,0.8,-,7.27
13,Wilfred Ndidi Leicester,24, DMC,,25(1),2179,4,0.6,55.1,86.9,-,2.0,-,7.25
14,Jesse Lingard West Ham,28, AM(CLR),FW,16,1426,4,1.1,39.6,83.6,0.4,1.0,-,7.22
15,Raphinha Leeds,24, AM(LR),,26(4),2364,9,2.1,29.2,72.3,1.3,1.5,-,7.22
16,Raheem Sterling Man City,26, M(CLR),FW,28(3),2537,7,1.3,35.9,86.2,-,0.3,-,7.22
17,James Rodríguez Everton,30, AM(CLR),FW,21(2),1776,4,1.7,44.8,83.3,0.7,4.3,0.2,7.21
18,Ollie Watkins Aston Villa,25, AM(LR),FW,37,3329,5,1.2,21.7,71.5,0.1,0.2,-,7.18
19,Kortney Hause Aston Villa,26, D(CL),,7,630,-,-,33.1,74.6,-,2.3,-,7.17
20,Rodri Man City,25, DMC,,31(3),2749,2,1.0,81.9,91.3,0.1,4.6,-,7.17
21,Michail Antonio West Ham,31, D(R),M(CLR),24(2),1984,5,1.0,17.4,68.2,0.1,0.5,-,7.17
22,Dominic Calvert-Lewin Everton,24, AM(L),FW,32(1),2876,-,0.5,20.5,68.7,0.1,0.5,-,7.17
23,Jimmy Dunne Burnley,24, D(C),,3,270,-,0.7,51.0,68.6,-,3.3,-,7.16
24,Aaron Wan-Bissaka Man Utd,23, D(R),M(R),34,3060,4,0.9,53.1,84.9,0.4,0.8,-,7.15
25,Phil Foden Man City,21, AM(CLR),FW,17(11),1614,5,1.3,27.2,88.2,0.5,0.3,-,7.14
26,Joseph Willock Newcastle,22, M(C),,11(3),980,-,0.6,16.2,77.1,0.2,0.6,-,7.13
27,Marcus Rashford Man Utd,24, AM(CLR),FW,33(4),2928,9,1.2,32.1,82.1,0.2,0.9,-,7.13
28,Thiago Liverpool,30, M(C),,20(4),1858,-,1.3,71.7,89.6,-,5.0,0.1,7.12
29,Allan Saint-Maximin Newcastle,24, AM(CLR),FW,19(6),1568,4,1.2,16.7,82.5,0.2,0.6,-,7.12
30,Gabriel Jesus Man City,24, AM(LR),FW,22(7),2060,4,1.1,25.2,85.0,0.1,0.4,-,7.11
31,Pedro Neto Wolves,21, AM(CLR),FW,30(1),2559,6,2.0,32.9,88.4,1.9,0.5,-,7.11
32,Adama Traoré Wolves,25, M(CLR),FW,28(9),2645,2,1.5,18.9,76.3,0.6,0.4,-,7.11
33,Roberto Firmino Liverpool,30, M(CLR),FW,33(3),2852,7,1.2,36.1,80.7,-,0.6,0.1,7.11
34,Jamie Vardy Leicester,34, AM(L),FW,31(3),2846,9,0.8,12.8,67.5,0.1,0.1,-,7.11
35,Mat Ryan Arsenal,29, GK,,3,270,-,0.3,15.7,89.4,-,1.7,-,7.1
36,Youri Tielemans Leicester,24, M(C),,37(1),3358,4,1.3,65.2,81.7,0.6,3.0,0.2,7.09
37,Lucas Digne Everton,28, D(CL),M(L),30,2682,7,1.5,42.2,77.5,1.5,1.3,-,7.08
38,Christian Benteke Crystal Palace,30, FW,,21(9),1819,1,0.5,19.2,58.6,-,0.3,-,7.08
39,Bernardo Silva Man City,27, M(CLR),FW,24(2),2071,6,1.0,52.8,91.8,0.1,1.9,-,7.07
40,Kurt Zouma Chelsea,27, D(CR),,22(2),2025,-,0.2,74.0,90.9,-,3.8,-,7.07
41,Solly March Brighton,27, M(CLR),,19(2),1675,1,1.3,34.1,76.0,0.9,2.0,-,7.07
42,James Ward-Prowse Southampton,27, M(CR),,38,3420,7,1.6,64.1,86.4,1.4,2.1,-,7.07
43,Mohamed Salah Liverpool,29, AM(CLR),FW,34(3),3082,5,1.5,34.1,83.7,0.2,0.6,0.1,7.07
44,Liam Cooper Leeds,30, D(C),,25,2188,-,-,65.9,85.6,-,3.8,-,7.06
45,Kiko Casilla Leeds,35, GK,,3,270,-,-,26.0,87.2,-,3.7,-,7.06
46,Serge Aurier Tottenham,28, D(CLR),M(R),19,1609,3,0.9,41.7,80.8,0.5,1.1,0.1,7.06
47,Paul Pogba Man Utd,28, M(CL),,21(5),1896,3,1,51.3,83.0,0.1,3.7,0.1,7.06
48,Harry Maguire Man Utd,28, D(C),,34,3048,1,0.2,65.5,87.3,-,4.5,-,7.04
49,John Stones Man City,27, D(CR),,22,1934,-,0.1,78.5,93.3,-,2.8,-,7.03
50,James Justin Leicester,23, D(CLR),M(LR),23,2070,1,0.9,45.8,80.5,0.3,1.2,-,7.03
51,Luke Shaw Man Utd,26, D(CL),M(L),30(2),2657,5,2.3,50.3,85.0,1.8,0.9,-,7.03
52,Patrick Bamford Leeds,28, AM(CLR),FW,37(1),3066,7,0.8,13.3,77.3,-,0.1,0.1,7.03
53,Caoimhin Kelleher Liverpool,22, GK,,2,180,-,-,26.0,75.0,-,2.0,-,7.03
54,James Tarkowski Burnley,29, D(C),,36,3240,-,0.3,35.0,70.1,0.1,3.6,-,7.02
55,Antonio Rüdiger Chelsea,28, D(CR),,19,1710,-,0.2,80.2,89.4,0.1,4.0,-,7.02
56,Trent Alexander-Arnold Liverpool,23, D(R),M(R),34(2),3033,7,2.1,66.1,79.4,1.9,4.2,0.1,7.02
57,Wesley Fofana Leicester,20, D(C),,27(1),2265,-,0.2,60.3,86.4,-,2.7,-,7.01
58,Declan Rice West Ham,22, D(C),DMC,32,2880,1,0.7,47.7,88.0,0.3,2.3,-,7.01
59,Kalvin Phillips Leeds,25, D(C),DMC,28(1),2431,2,1.2,48.4,84.7,1,4.7,0.1,7.01
60,James Maddison Leicester,24, AM(CLR),,24(7),2105,5,1.6,32.9,83.3,0.8,1.1,0.1,7.0
61,Ben Chilwell Chelsea,24, D(L),M(L),27,2290,5,1.1,54.4,82.0,1,1.9,-,7.0
