,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Gonçalo Ramos Benfica,20, Forward,,0(1),5,-,-,-,-,-,-,-,-,7.83
1,Bruno Fernandes Sporting,27, M(CLR),,17,1530,2.3,0.2,1.5,-,0.6,1.3,0.1,-,7.82
2,Pizzi Benfica,32, M(CLR),,33(1),2827,1.5,0.6,1.1,-,0.2,1.4,-,-,7.61
3,Otávio Porto,26, AM(CLR),FW,29(2),2581,2.9,0.7,1.8,-,0.5,1.5,0.1,-,7.45
4,Alejandro Grimaldo Benfica,26, D(L),M(L),26,2301,2.3,0.8,0.7,0.4,1.2,1.7,0.2,-,7.42
5,Jesús Corona Porto,28, D(R),M(CLR),33,2793,1.2,1.2,1.2,0.1,0.8,0.5,0.1,-,7.39
6,Marcus Edwards Vitoria de Guimaraes,22, AM(LR),,23(3),2125,0.7,0.7,0.5,-,0.1,0.8,-,-,7.38
7,Alex Telles Porto,28, D(L),M(L),28(3),2558,1.1,1.8,1.7,0.1,1.2,0.6,0.1,-,7.37
8,Bruno Tabata Portimonense,24, AM(CLR),,23(3),2130,1.4,1,1.2,-,0.2,0.7,0.1,-,7.32
9,Gabriel Pires Benfica,28, M(C),FW,19(3),1633,2.6,1.5,1.5,0.1,0.8,1.2,0.2,-,7.3
10,Trincão Braga,21, AM(CR),,17(10),1606,1.0,0.4,0.7,-,0.2,0.5,-,-,7.28
11,Sérgio Oliveira Porto,29, DMC,,14(6),1306,1.9,1.1,1.3,-,0.5,0.8,0.1,-,7.28
12,Paulinho Braga,29, FW,,27(2),2315,0.3,0.1,1.1,-,0.4,0.3,0.1,-,7.27
13,Iván Marcano Porto,34, D(CL),,23,2100,1.3,1.4,1.1,0.6,2.7,0.2,0.5,-,7.26
14,Nuno Mendes Sporting,19, D(L),M(L),7(2),657,2.4,2.3,0.6,-,1.6,0.9,-,-,7.25
15,Nuno Sequeira Braga,31, D(CL),M(L),24(1),2028,2.5,1.4,1.0,0.2,1.0,0.6,0.1,-,7.25
16,Willyan Portimonense,26, D(C),DMC,16,1383,2.4,2.8,2.3,0.5,4.5,0.7,0.6,-,7.24
17,Fábio Martins Famalicao,28, AM(CLR),,29,2476,2.0,0.8,1.9,-,0.2,1.0,-,-,7.21
18,Moussa Marega Porto,30, AM(LR),FW,27(2),2316,0.7,0.4,1.3,-,0.6,0.6,0.1,-,7.2
19,Florentino Benfica,22, M(C),,8(2),746,2.5,3.3,1.7,-,0.5,1.0,0.1,-,7.19
