,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Gonçalo Ramos Benfica,20, Forward,,0(1),5,-,-,3.0,66.7,-,-,-,7.83
1,Bruno Fernandes Sporting,27, M(CLR),,17,1530,7,3.7,56.1,77.0,1.6,4.1,0.4,7.82
2,Pizzi Benfica,32, M(CLR),,33(1),2827,14,2.9,45.5,79.4,2.4,2.8,0.1,7.61
3,Otávio Porto,26, AM(CLR),FW,29(2),2581,9,1.8,47.8,82.0,0.4,2.9,0.2,7.45
4,Alejandro Grimaldo Benfica,26, D(L),M(L),26,2301,6,2.2,52.3,82.6,1.8,3.2,0.1,7.42
5,Jesús Corona Porto,28, D(R),M(CLR),33,2793,11,1.8,38.3,82.3,1.5,1.9,0.2,7.39
6,Marcus Edwards Vitoria de Guimaraes,22, AM(LR),,23(3),2125,5,1.4,22.2,79.4,0.8,0.5,0.1,7.38
7,Alex Telles Porto,28, D(L),M(L),28(3),2558,8,1.8,37.4,80.5,2.3,1.8,-,7.37
8,Bruno Tabata Portimonense,24, AM(CLR),,23(3),2130,8,2.3,28.5,74.1,2.3,2,-,7.32
9,Gabriel Pires Benfica,28, M(C),FW,19(3),1633,2,0.8,57.9,78.7,0.1,5.7,-,7.3
10,Trincão Braga,21, AM(CR),,17(10),1606,6,1.3,20.9,78.4,0.8,0.8,0.1,7.28
11,Sérgio Oliveira Porto,29, DMC,,14(6),1306,4,1.8,42.7,84.8,1.7,2.7,-,7.28
12,Paulinho Braga,29, FW,,27(2),2315,7,1.2,18.1,72.4,0.2,0.9,0.1,7.27
13,Iván Marcano Porto,34, D(CL),,23,2100,1,0.3,60.7,87.3,-,4.0,-,7.26
14,Nuno Mendes Sporting,19, D(L),M(L),7(2),657,-,1.3,39.4,81.4,0.8,2.3,0.1,7.25
15,Nuno Sequeira Braga,31, D(CL),M(L),24(1),2028,4,2.2,46.2,77.7,1.8,2.2,-,7.25
16,Willyan Portimonense,26, D(C),DMC,16,1383,-,0.2,52.1,80.2,-,7.1,-,7.24
17,Fábio Martins Famalicao,28, AM(CLR),,29,2476,5,1.6,25.9,74.2,1,2.0,0.1,7.21
18,Moussa Marega Porto,30, AM(LR),FW,27(2),2316,5,1.2,13.8,72.3,0.2,0.4,-,7.2
19,Florentino Benfica,22, M(C),,8(2),746,-,0.6,51.4,89.3,-,1.9,-,7.19
20,Mile Svilar Benfica,22, GK,,1,90,-,-,28.0,85.7,-,9.0,-,7.18
21,Jovane Cabral Sporting,23, AM(CLR),,10(6),1043,2,1.3,20.2,78.6,0.5,1.1,0.1,7.17
22,Edu Machado Boavista,31, D(R),,1,90,-,1,22.0,63.6,1,1.0,-,7.15
23,Rubén Ribeiro Gil Vicente,34, M(CL),,11(2),917,3,1.4,27.4,83.4,0.9,2.5,0.1,7.14
24,Bruno Silva Moreirense,29, D(L),,1,90,-,-,13.0,84.6,-,1.0,-,7.14
25,Mikel Agu Vitoria de Guimaraes,28, DMC,,14(2),1230,2,0.4,34.2,83.5,-,1.4,-,7.14
26,Ricardo Horta Braga,27, AM(CLR),FW,31(2),2619,5,1.7,30.6,80.5,0.4,1.2,0.2,7.12
27,Filipe Augusto Rio Ave,28, DMC,,27(1),2442,2,0.8,72.3,86.8,0.6,6.5,0.1,7.11
28,Rafa Benfica,28, AM(CLR),FW,18(7),1699,5,1.1,24.6,79.1,0.4,0.4,-,7.11
29,Bebeto Maritimo,31, D(R),,14(1),1215,1,1.1,34.6,76.7,1.2,1.7,-,7.11
30,André Almeida Benfica,31, D(LR),DMC,23,2007,4,0.8,47.4,83.6,0.7,1.6,-,7.09
31,Mehdi Taremi Rio Ave,29, FW,,26(4),2354,2,0.9,18.2,72.7,-,0.6,-,7.09
32,Fábio Pacheco Moreirense,33, D(C),DMC,24(1),2117,2,0.3,27.4,78.2,-,2.0,0.1,7.08
33,André Ferreira Santa Clara,25, GK,,3,270,-,-,26.3,64.6,-,7.7,-,7.07
34,Rúben Dias Benfica,24, D(C),,33,2970,2,0.5,66.2,88.6,0.2,5.6,0.1,7.07
35,Aderllan Santos Rio Ave,32, D(C),,30,2668,-,0.1,58.0,89.8,-,5.7,-,7.06
36,Caju Braga,26, D(L),,1,72,-,-,34.0,88.2,1,3.0,-,7.05
37,André Pereira Vitoria de Guimaraes,26, FW,,7(2),628,-,0.6,17.3,82.7,0.3,0.4,0.1,7.04
38,João Palhinha Braga,26, DMC,,24(3),2094,-,0.5,42.0,84.4,0.1,3.2,-,7.03
39,Jardel Benfica,35, D(C),,10,834,-,0.3,64.7,92.7,0.1,4.6,-,7.03
40,Raphinha Sporting,24, AM(LR),,4,360,-,1.5,25.0,79.0,0.3,1.3,-,7.03
41,Sebastián Coates Sporting,31, D(C),,28(1),2563,-,0.3,54.6,85.3,-,4.7,-,7.03
42,Nuno Tavares Benfica,21, D(L),,10(1),926,4,1.3,40.8,74.6,1.9,2.5,-,7.02
43,Zé Luís Porto,30, FW,,11(8),1178,-,0.6,12.3,73.1,0.1,0.4,-,7.02
44,Pepelu Tondela,23, DMC,,33,2906,4,1.5,48.1,80.2,1.2,4.4,0.1,7.01
45,Carlos Vinícius Benfica,26, FW,,19(13),1784,5,0.7,7.6,70.0,-,-,-,7.01
46,Lucas Evangelista Vitoria de Guimaraes,26, M(CLR),,17(2),1398,2,1.5,30.8,83.8,0.7,1.1,0.1,7.01
47,Henrique Gomes Gil Vicente,26, D(L),,21,1797,4,0.8,29.4,69.3,0.9,2.2,-,7.0
48,Marcos Acuña Sporting,30, D(L),M(CL),23(1),2019,1,1.9,52.3,81.7,1.7,5.2,-,7.0
49,João Teixeira Vitoria de Guimaraes,28, AM(CLR),,14(7),1328,2,1.3,20.9,76.1,0.5,1,0.1,6.99
50,Víctor García Vitoria de Guimaraes,27, D(R),,10,838,-,1.2,34.7,78.1,0.9,1.4,-,6.98
51,Adel Taarabt Benfica,32, M(CL),FW,19(5),1677,1,0.8,44.1,85.4,0.2,2.8,0.2,6.98
52,João Aurélio Moreirense,33, D(R),DMC,27(2),2425,2,0.3,31.0,71.2,0.2,2.9,-,6.98
53,Luciano Vietto Sporting,27, AM(CLR),FW,19(5),1645,4,1.1,29.8,80.7,0.2,2.1,0.2,6.98
54,Danilo Pereira Porto,30, D(C),DMC,23(3),2155,1,0.3,49.0,87.5,-,3.4,-,6.98
55,Nuno Santos Rio Ave,26, M(CLR),,29(3),2521,5,2.2,36.3,78.5,1.9,3.0,0.1,6.97
56,Mamadou Loum Porto,24, DMC,,4(2),359,-,0.3,26.7,75.0,-,0.7,-,6.96
57,Patrick Santa Clara,30, D(R),,12,1067,-,1.1,43.2,82.2,1,5.3,-,6.96
58,Zainadine Júnior Maritimo,33, D(C),,30,2700,1,0.1,44.7,82.0,-,5.2,-,6.95
59,Franco Cervi Benfica,27, AM(CL),,19(4),1613,1,0.7,26.8,79.3,0.3,0.9,-,6.95
60,Bruno Costa Porto,24, AM(C),,2,180,-,1,61.5,76.4,1,1.0,-,6.95
61,Ronan Tondela,26, FW,,8(4),706,-,0.9,14.3,68.6,-,0.8,0.1,6.95
62,Luis Díaz Porto,24, AM(L),,20(9),1772,2,0.7,22.4,86.1,0.1,1.1,-,6.95
63,Pepe Porto,38, D(C),,24(1),2064,1,0.2,63.5,89.4,-,6.6,-,6.95
64,Galeno Braga,24, M(LR),,16(11),1496,4,1.2,16.7,74.1,0.7,0.9,-,6.94
