,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
51,6.98,Adel Taarabt Benfica,32, M(CL),19(5),1677,1,1,0.8,0.8,1.9,1.7,-,0.4,1.4
52,6.98,João Aurélio Moreirense,33, D(R),27(2),2425,2,2,0.3,0.3,0.7,1.9,-,0.8,0.7
53,6.98,Luciano Vietto Sporting,27, AM(CLR),19(5),1645,4,4,2.6,1.1,1.5,1.6,0.1,1.9,2.3
54,6.98,Danilo Pereira Porto,30, D(C),23(3),2155,2,1,1.3,0.3,0.3,1.0,0.1,0.3,0.6
55,6.97,Nuno Santos Rio Ave,26, M(CLR),29(3),2521,2,5,1.6,2.2,1.0,1.2,0.1,0.8,1.8
56,6.96,Mamadou Loum Porto,24, DMC,4(2),359,1,-,0.8,0.3,0.7,0.5,0.3,0.3,0.5
57,6.96,Patrick Santa Clara,30, D(R),12,1067,-,-,0.8,1.1,1.2,2.6,-,0.5,1.4
58,6.95,Zainadine Júnior Maritimo,33, D(C),30,2700,2,1,0.6,0.1,0.3,1.3,0.1,0.1,0.2
59,6.95,Franco Cervi Benfica,27, AM(CL),19(4),1613,2,1,1.0,0.7,0.6,1.6,0.1,0.9,1.3
60,6.95,Bruno Costa Porto,24, AM(C),2,180,-,-,1.5,1,1.5,0.5,-,1,1
61,6.95,Ronan Tondela,26, FW,8(4),706,5,-,2.1,0.9,0.3,1.6,0.1,0.8,1.4
62,6.95,Luis Díaz Porto,24, AM(L),20(9),1772,6,2,1.7,0.7,1.6,1.7,0.3,1.3,1.8
63,6.95,Pepe Porto,38, D(C),24(1),2064,1,1,0.5,0.2,0.2,0.7,0.1,-,0.4
64,6.94,Galeno Braga,24, M(LR),16(11),1496,6,4,1.6,1.2,1.6,1.9,0.2,1,2.2
65,6.94,Fábio Cardoso Santa Clara,27, D(C),30,2692,2,-,0.8,0.2,-,0.9,-,0.1,0.3
66,6.94,Vasco Fernandes Vitoria de Setubal,35, D(CLR),1,90,-,-,1.0,-,-,1.0,-,-,-
67,6.94,Neris Boavista,29, D(C),24,2160,1,-,0.2,0.2,0.2,0.6,-,0.1,0.5
68,6.94,Mateus Uribe Porto,30, DMC,22(4),1873,1,1,0.8,0.6,0.7,0.6,-,0.7,0.9
69,6.93,Diogo Gonçalves Famalicao,24, D(R),22(5),2018,5,4,1.9,1.2,1.1,1.2,0.1,1,1.4
70,6.93,Eduardo Braga,39, GK,4,360,-,-,-,-,-,0.3,-,-,-
71,6.92,Eduardo Quaresma Sporting,19, D(C),9,775,-,-,0.1,0.6,0.8,0.6,-,0.7,1.3
72,6.92,André André Vitoria de Guimaraes,32, M(C),14(2),1222,4,1,1.2,0.9,0.8,2.9,0.1,0.9,1.3
73,6.92,Nilton Varela Belenenses SAD,20, M(L),17(1),1428,1,2,0.7,0.7,1.6,1.8,-,0.4,1.9
74,6.91,Falaye Sacko Vitoria de Guimaraes,26, D(R),23,2064,-,5,0.2,1.3,0.9,0.7,0.1,0.6,1.3
75,6.91,Ferro Benfica,24, D(C),25(1),2316,1,-,0.7,0.3,0.1,0.1,-,0.1,0.3
76,6.9,Chancel Mbemba Porto,27, D(CLR),21(5),1990,2,-,0.4,0.3,0.2,0.4,-,0.2,0.5
77,6.9,Wendel Sporting,24, M(CL),26(2),2292,3,2,1,1.1,1.5,2.0,-,1.1,1.2
78,6.9,Ricardo Esgaio Braga,28, D(R),28(2),2544,1,5,0.3,1.5,0.3,0.6,0.2,0.5,0.8
79,6.89,Vítor Tormena Braga,25, D(CR),4,360,-,-,0.3,-,-,0.3,-,-,0.3
80,6.88,Iago Santos Moreirense,29, D(C),25,2234,1,1,0.8,0.2,0.1,0.5,-,0.1,0.4
81,6.88,Fabio China Maritimo,29, D(L),14,1275,-,-,0.3,0.6,0.7,1.6,-,0.9,1.4
82,6.88,Dener Portimonense,29, M(CR),22(4),1869,6,-,1.3,0.5,0.4,1.2,0.1,1.0,1.5
83,6.88,Mohamed Diaby Pacos de Ferreira,25, DMC,19(8),1756,2,1,1.1,0.3,1.0,1.5,0.3,0.8,1.1
84,6.87,Julian Weigl Benfica,26, D(C),17(1),1377,1,-,0.5,0.1,1.2,1.1,-,0.3,0.6
85,6.87,Pote Famalicao,23, M(C),32(1),2729,5,5,2.2,1.5,1.4,1.2,0.1,1.6,2.0
86,6.86,Fábio Abreu Moreirense,28, FW,27(7),2401,13,2,1.6,0.5,0.5,2.1,0.2,1.0,1.6
87,6.86,Tiquinho Soares Porto,30, FW,20(10),1728,10,1,1.8,0.6,0.6,1.1,0.3,0.9,1.3
88,6.85,Carraça Boavista,28, D(R),28(2),2574,2,3,1.8,1.1,0.5,1.3,-,1.0,0.9
89,6.85,Andraz Sporar Sporting,27, FW,15(1),1395,6,-,1.6,0.7,0.6,1.4,0.5,1.1,1.7
90,6.84,Diego Lopes Rio Ave,27, AM(CL),29(1),2387,6,4,1.3,0.7,0.8,3.1,0.2,1.3,1.3
91,6.84,Giorgi Makaridze Vitoria de Setubal,31, GK,32,2835,-,-,-,-,0.2,0.3,-,-,-
92,6.84,Guedes Vitoria de Guimaraes,27, FW,1(1),114,1,-,2,-,0.5,1,-,0.5,3
93,6.84,Dimitar Sheytanov Aves,22, Goalkeeper,2,180,-,-,-,-,-,-,-,-,-
94,6.84,Bruno Duarte Vitoria de Guimaraes,25, FW,18(6),1590,8,5,1.8,0.8,0.5,0.4,0.7,1.1,1.4
95,6.84,Jeremy Mathieu Sporting,38, D(CL),19,1639,1,1,0.8,0.5,0.3,0.2,-,0.1,0.4
96,6.84,Emmanuel Hackman Portimonense,26, D(R),19(1),1599,1,2,0.7,0.5,0.4,0.6,0.2,0.9,0.8
97,6.83,Wallace Braga,27, D(C),8,658,-,-,0.4,0.1,-,0.6,0.1,0.1,0.3
98,6.83,René Maritimo,29, D(C),30(1),2721,1,-,0.3,0.4,0.5,1.4,0.1,0.2,0.5
99,6.83,Alex Pinto Gil Vicente,23, D(R),13,1140,-,1,0.2,0.8,0.5,0.4,-,0.3,0.9
100,6.82,Gelson Dala Rio Ave,25, AM(CL),5(9),585,6,-,1.5,0.3,0.8,1.5,0.4,0.7,1.1
101,6.82,Douglas Tanque Pacos de Ferreira,28, FW,23(6),1935,11,1,2.5,0.5,0.4,2.0,0.4,1.6,2.6
102,6.82,Matheus Reis Rio Ave,26, D(CL),28(2),2538,1,3,0.3,0.5,1.2,1.5,-,0.9,0.9
103,6.82,Davidson Vitoria de Guimaraes,30, AM(LR),16(10),1528,5,3,2.4,0.7,1.2,2.3,0.1,1.5,2.1
104,6.82,Wilson Manafá Porto,27, D(LR),21(7),1910,1,1,0.3,0.4,1.4,0.4,-,0.5,1.1
105,6.82,Jonathan Buatu Aves,28, D(C),12,1080,-,-,0.4,0.1,0.2,1.7,0.1,0.2,0.5
106,6.81,Chiquinho Benfica,26, AM(C),17(8),1514,2,4,1.6,0.9,0.7,0.9,-,0.6,1.4
107,6.81,Samú Costa Braga,20, Midfielder,0(1),45,-,-,-,-,-,2.0,-,-,-
