,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
567,Ivonei Rabelo Santos FC,19, Midfielder,,3(10),298,0.5,0.3,0.4,0.1,0.1,0.5,0.1,-,6.28
568,Gilberto Júnior Goias,33, DMC,,5(2),316,0.3,0.4,1.3,-,0.6,1.3,0.3,-,6.28
569,Alexander Lecaros Botafogo RJ,22, Forward,,1(10),265,0.2,0.1,0.2,-,-,0.1,-,-,6.28
570,Guilherme Nunes Santos FC,23, Midfielder,,2(2),206,1.5,1.3,1.8,-,0.8,0.5,-,-,6.28
571,Kawan Athletico Paranaense,19, Midfielder,,0(1),32,-,1,1,-,-,2,-,-,6.28
572,Marcio Silva Coritiba,20, Defender,,1,90,1,2,1,-,4,-,-,-,6.28
573,Bueno Atletico MG,26, Defender,,3(6),344,0.7,0.7,1.2,0.4,0.9,0.3,0.1,-,6.28
574,Anderson Bahia,37, GK,,5(3),523,-,-,-,-,0.9,0.1,-,-,6.28
575,Ramires Red Bull Bragantino,21, M(CR),,4(9),435,0.8,0.4,0.7,-,0.3,1.1,-,-,6.28
576,Jádson Athletico Paranaense,38, AM(CLR),,4(5),386,0.1,0.1,0.3,-,-,0.2,-,-,6.28
577,Marllon Corinthians,29, D(C),,7(4),597,0.3,0.5,0.7,0.4,3.1,-,0.4,-,6.28
578,Yan Sasse Coritiba,24, AM(CLR),,6(12),600,0.7,0.3,1,-,0.3,0.5,-,-,6.28
579,Wescley Ceara,30, AM(CR),,2(18),374,0.4,0.1,0.7,-,0.1,0.1,-,-,6.28
580,John Santos FC,25, GK,,9,810,-,-,0.1,-,0.2,-,-,-,6.27
581,Ezequiel Cerutti Coritiba,29, AM(CLR),FW,3(4),309,0.3,0.7,1.1,-,0.6,0.3,-,-,6.27
582,Weverson Red Bull Bragantino,21, D(L),,7(8),611,0.8,0.8,0.6,-,1.4,0.5,-,-,6.27
583,Henrique Vermudt Coritiba,22, D(C),,5(3),495,0.4,0.4,0.3,0.1,3.5,0.3,0.4,-,6.27
584,Jajá Athletico Paranaense,20, Forward,,0(1),18,1,-,1,-,-,-,-,-,6.27
585,Luan Patrick Athletico Paranaense,19, Defender,,0(1),20,-,1,1,-,-,-,-,-,6.27
586,Lucão Vasco da Gama,20, Goalkeeper,,2,180,-,-,-,-,1.5,-,-,-,6.27
587,Vítor Jacaré Ceara,22, Forward,,0(10),254,0.4,0.2,1.2,-,0.2,0.7,-,-,6.27
588,Lucas Halter Athletico Paranaense,21, D(C),,6(3),603,0.1,0.4,1.2,0.1,3,0.1,0.2,-,6.27
589,Matías Zaracho Atletico MG,23, M(CR),,8(5),516,0.8,0.7,1,-,0.2,0.4,-,-,6.27
590,Ângelo Gabriel Santos FC,16, Forward,,1(8),155,0.3,-,0.3,-,-,-,-,-,6.27
591,Juan Quintero Fortaleza,26, D(C),,14(1),1029,0.3,0.7,0.8,0.5,2.4,0.3,0.3,-,6.26
592,Zeca Bahia,27, D(LR),,4(7),454,0.2,0.5,0.3,0.2,1.5,0.5,-,-,6.26
593,Ramon Flamengo,20, D(L),,1(3),100,0.5,0.8,0.5,-,0.3,-,-,-,6.26
594,Jonathan Cafú Corinthians,30, AM(R),FW,1(2),103,0.7,0.3,1,-,0.3,-,-,-,6.26
595,Brayan Lucumí Coritiba,27, Midfielder,,0(4),81,0.3,0.3,-,-,-,-,-,-,6.26
596,Davi Araujo Botafogo RJ,22, Forward,,1(12),318,0.2,0.2,0.6,-,-,0.4,0.2,-,6.25
597,Salomon Kalou Botafogo RJ,36, AM(CLR),FW,10(10),970,0.5,0.3,0.8,-,0.3,0.5,0.1,-,6.25
598,Jonas Toró Sao Paulo,22, AM(LR),,1(12),195,0.4,-,0.3,0.1,0.1,0.2,-,-,6.25
599,Ruan Oliveira Corinthians,21, Midfielder,,1(3),107,0.5,0.8,0.5,-,-,0.8,-,-,6.25
600,Zé Ivaldo Athletico Paranaense,24, D(C),,2,180,-,2.5,1,1.5,1,-,-,-,6.25
601,Vanderlan Palmeiras,19, Defender,,1(1),122,0.5,2,1.5,-,1.5,-,-,-,6.24
602,Rafael Sóbis Ceara,36, AM(CLR),FW,6(8),506,0.1,0.1,0.6,-,0.1,0.4,0.1,-,6.24
603,Pedrinho Athletico Paranaense,22, AM(CL),,3(6),349,0.6,0.1,0.9,-,-,0.2,-,-,6.24
604,Lucão do Break Goias,30, Forward,,0(1),8,-,-,-,-,-,-,-,-,6.24
605,William Oliveira Ceara,29, DMC,,5(6),437,0.5,0.7,1.1,-,0.5,0.8,-,-,6.24
606,Edson Bahia,23, DMC,,7(5),502,1,0.8,0.5,-,0.7,0.3,0.2,-,6.24
607,Marcinho Goias,26, M(LR),,1,70,1,-,1,-,-,-,-,-,6.23
608,Martín Sarrafiore Internacional,24, AM(R),,1(1),142,0.5,-,0.5,-,-,-,-,-,6.23
609,Ramon Bahia,24, DMC,,6(7),490,0.7,0.4,1.4,-,0.2,0.2,-,-,6.23
610,Kelvyn Ceara,22, Defender,,2(14),332,0.3,0.3,0.3,0.1,0.3,0.2,-,-,6.23
611,Luiz Otávio Botafogo RJ,24, Midfielder,,4(15),565,0.3,0.6,0.7,-,0.6,0.2,0.2,-,6.22
612,Gustavo Torres Vasco da Gama,25, Forward,,4(5),445,0.7,0.3,1.4,-,0.3,0.6,0.1,-,6.22
613,Vitor Leque Atletico GO,20, Forward,,0(8),102,-,0.1,0.8,-,0.1,0.5,-,-,6.22
614,William Internacional,27, AM(LR),FW,3(4),304,0.3,-,1.4,-,0.4,0.6,0.1,-,6.22
615,Michael Flamengo,25, AM(LR),,4(16),495,0.6,0.5,0.8,-,0.1,0.8,-,-,6.22
616,Dani Bolt Fluminense,22, Defender,,0(1),1,-,2,-,-,-,-,-,-,6.22
617,Elton Bahia,31, DMC,,1(4),142,0.6,0.4,0.8,-,1.2,0.2,-,-,6.22
618,Moacir Atletico GO,35, Defender,,1(3),115,0.8,0.8,1.3,-,1.5,1,0.3,-,6.22
619,Zeca Goias,24, Forward,,0(3),68,0.3,-,1,-,1,-,-,-,6.22
620,Ramón Martínez Coritiba,25, DMC,,2(7),208,1.1,0.2,0.7,-,0.6,0.4,0.1,-,6.22
621,Reinaldo Athletico Paranaense,20, Forward,,4(7),404,0.5,0.4,1.5,-,0.5,0.5,-,-,6.22
622,Gustavo Blanco Goias,27, M(C),,2(2),160,1.3,0.5,2,-,0.3,0.8,-,-,6.21
623,Caio Vinícius Fluminense,22, Defender,,0(2),24,1.5,-,1,-,-,-,-,-,6.21
624,Sebastián Salazar Goias,26, Midfielder,,0(1),52,1.0,1,-,-,-,-,-,-,6.21
625,César Flamengo,29, GK,,3(2),301,0.2,-,-,-,0.8,-,-,-,6.21
626,Saldanha Bahia,22, Forward,,0(17),395,0.1,-,0.7,-,0.5,0.1,-,-,6.21
627,Patrick Coritiba,30, D(R),,4,318,1.0,1,1.3,0.3,1,1.3,0.3,-,6.21
628,André Fluminense,20, DMC,,2(8),275,0.5,0.9,0.4,-,0.6,0.5,-,-,6.2
629,Miguel Fluminense,18, Midfielder,,0(4),45,0.8,-,0.3,-,-,-,-,-,6.2
