,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,7.94,Paolo Guerrero Internacional,37, FW,3,232,3,1,3.7,2,1,1.7,1,2,2.3
1,7.63,Flávio Bahia,25, M(C),1,90,-,-,1,1,1,2.0,-,1,-
2,7.54,Marinho Santos FC,31, AM(CLR),24(3),2148,17,7,3.5,1.2,1.7,4.6,0.8,1.9,2.1
3,7.5,Claudinho Red Bull Bragantino,24, AM(CL),33(2),2853,18,6,3,3,1.6,1.7,0.2,1.5,2.6
4,7.47,Giorgian de Arrascaeta Flamengo,27, AM(CLR),26(2),2219,8,9,2.4,2.5,1.8,1.6,-,1.1,1.9
5,7.46,Keno Atletico MG,32, AM(LR),29(4),2564,10,9,3,1.8,3.1,2.0,0.8,1,2.7
6,7.45,Max Walef Fortaleza,28, Goalkeeper,1,90,-,-,-,-,-,1.0,-,-,-
7,7.31,Luiz Fernando Botafogo RJ,25, AM(LR),1(1),91,1,-,0.5,1,2,0.5,-,2,-
8,7.28,Bruno Henrique Flamengo,30, AM(CLR),30(1),2587,9,7,2.7,1.3,1.5,2.2,0.5,1.4,2.1
9,7.28,Bruno Tubarão Red Bull Bragantino,26, Midfielder,5,421,1,1,3.2,1.2,1.2,0.8,0.4,1.4,1.8
10,7.25,Vina Ceara,30, M(C),30(1),2606,13,9,2.8,2.6,0.8,0.9,0.2,0.7,1.6
11,7.25,Diego Souza Gremio,36, AM(CL),25,2001,13,3,2.1,1.1,0.6,1.2,0.1,0.8,1.4
12,7.24,Patrick Internacional,29, M(CL),32(1),2624,6,4,1.2,0.9,2.7,2.1,-,2.2,3
13,7.24,Everton Ribeiro Flamengo,32, AM(CLR),31(2),2650,7,6,1.6,1.7,2.0,2.1,-,1.6,2.3
14,7.21,Júlio César Gremio,35, GK,1,90,-,-,-,-,1.0,-,-,-,-
15,7.19,Índio Ramírez Bahia,23, AM(C),9,674,3,1,1.6,0.7,4.1,2.1,-,1.6,2.6
16,7.19,Luciano Sao Paulo,28, AM(CR),29(2),2507,18,3,2.2,1.2,0.8,1.9,0.3,0.9,1.5
17,7.18,Filipe Luís Flamengo,36, D(L),31,2736,2,2,0.4,1.2,1.2,1.2,-,0.5,0.7
18,7.17,Jean Pyerre Gremio,23, AM(C),17(3),1476,5,3,2.3,2.4,1.2,1.1,0.1,0.9,1
19,7.15,Jemerson Corinthians,29, D(CR),7,625,-,-,0.4,0.3,0.3,0.3,-,-,0.4
20,7.15,Pepê Aquino Gremio,24, AM(L),27(4),2431,9,5,1.5,1.3,2.4,2.1,0.1,1.2,2.1
21,7.14,Martinelli Fluminense,20, DMC,11(2),964,3,-,0.7,0.3,1.2,0.9,-,1.1,0.8
