,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Paolo Guerrero Internacional,37, FW,,3,232,1,2,21.0,68.3,-,0.3,-,7.94
1,Flávio Bahia,25, M(C),,1,90,-,1,50.0,82.0,-,2,-,7.63
2,Marinho Santos FC,31, AM(CLR),FW,24(3),2148,7,1.2,20.7,79.6,0.8,1,-,7.54
3,Claudinho Red Bull Bragantino,24, AM(CL),FW,33(2),2853,6,3,38.1,82.2,1.4,3.1,0.1,7.5
4,Giorgian de Arrascaeta Flamengo,27, AM(CLR),FW,26(2),2219,9,2.5,40.2,79.0,1.4,1.8,0.2,7.47
5,Keno Atletico MG,32, AM(LR),FW,29(4),2564,9,1.8,24.2,73.4,1.1,1.2,0.1,7.46
6,Max Walef Fortaleza,28, Goalkeeper,,1,90,-,-,56.0,64.3,-,12,-,7.45
7,Luiz Fernando Botafogo RJ,25, AM(LR),,1(1),91,-,1,9.0,77.8,1,2.5,-,7.31
8,Bruno Henrique Flamengo,30, AM(CLR),FW,30(1),2587,7,1.3,28.3,80.3,0.2,0.5,-,7.28
9,Bruno Tubarão Red Bull Bragantino,26, Midfielder,,5,421,1,1.2,29.0,75.2,0.4,-,-,7.28
10,Vina Ceara,30, M(C),FW,30(1),2606,9,2.6,33.8,82.4,2,2.7,-,7.25
11,Diego Souza Gremio,36, AM(CL),FW,25,2001,3,1.1,18.7,70.2,-,0.2,-,7.25
12,Patrick Internacional,29, M(CL),,32(1),2624,4,0.9,26.8,79.5,0.2,0.4,0.1,7.24
13,Everton Ribeiro Flamengo,32, AM(CLR),,31(2),2650,6,1.7,43.5,83.8,0.8,1.4,0.1,7.24
14,Júlio César Gremio,35, GK,,1,90,-,-,22.0,45.5,-,8.0,-,7.21
15,Índio Ramírez Bahia,23, AM(C),,9,674,1,0.7,31.6,83.8,-,1.7,0.3,7.19
16,Luciano Sao Paulo,28, AM(CR),FW,29(2),2507,3,1.2,29.7,84.1,0.1,1.2,0.1,7.19
17,Filipe Luís Flamengo,36, D(L),,31,2736,2,1.2,69.0,88.3,0.9,4.5,-,7.18
18,Jean Pyerre Gremio,23, AM(C),,17(3),1476,3,2.4,57.1,90.8,0.9,3.0,0.3,7.17
19,Jemerson Corinthians,29, D(CR),DMC,7,625,-,0.3,42.6,84.2,-,2.1,-,7.15
20,Pepê Aquino Gremio,24, AM(L),,27(4),2431,5,1.3,28.8,84.0,0.4,0.4,-,7.15
21,Martinelli Fluminense,20, DMC,,11(2),964,-,0.3,46.6,88.1,0.1,2.8,-,7.14
22,Helinho Red Bull Bragantino,21, AM(LR),,9(1),664,2,1.0,21.3,86.4,0.7,0.5,-,7.13
23,Raúl Red Bull Bragantino,25, D(R),DMC,29(1),2655,3,0.9,51.6,85.7,0.1,3.9,-,7.13
24,Gerson Flamengo,24, M(CLR),,33(1),2800,3,1.0,52.1,90.4,0.1,3.4,0.1,7.13
25,Alisson Gremio,28, AM(CLR),,24,1956,5,1.4,39.4,82.2,0.9,0.5,0.1,7.12
26,Guilherme Arana Atletico MG,24, D(L),M(L),35(2),3193,6,1.9,55.6,86.2,1.6,1.8,0.1,7.12
27,Egídio Fluminense,35, D(L),,20,1800,7,1.5,49.1,80.7,1.4,2.7,-,7.11
28,Edson Atletico GO,30, DMC,,14,1260,1,0.3,38.9,87.7,-,3.1,-,7.11
29,Dani Alves Sao Paulo,38, D(R),M(CR),30,2689,3,2.4,77.7,88.3,2.2,3.6,-,7.1
30,Giovanni Augusto Coritiba,32, AM(CLR),FW,15(5),1278,5,2.1,29.1,81.9,1.3,1.6,0.1,7.09
31,Jandrei Athletico Paranaense,28, GK,,4,360,-,-,35.3,78.7,-,8.5,-,7.08
32,Aderlan Red Bull Bragantino,31, D(R),M(R),32(2),2846,2,1.2,37.8,76.4,0.7,1.6,-,7.07
33,Renato Kayzer Atletico GO,25, FW,,5,437,-,0.6,18.0,71.1,0.4,0.2,-,7.06
34,Patrick de Lucca Bahia,21, DMC,,3,248,-,0.7,56.3,87.6,-,3.7,0.3,7.06
35,Roberto Fernández Botafogo RJ,33, GK,,8,720,-,-,25.0,68.0,-,6.3,-,7.05
36,Danilo Barcelos Fluminense,30, D(L),M(CL),17,1530,2,1.9,44.0,78.6,2.2,2.3,-,7.05
37,Pedro Henrique Athletico Paranaense,26, D(C),,30,2649,-,0.2,60.4,88.1,-,6.3,-,7.05
38,Moisés Internacional,26, D(L),,24(2),2174,5,0.9,35.4,81.6,1.5,2.4,-,7.04
39,Jefferson Savarino Atletico MG,25, AM(CLR),,28(4),2412,6,1.8,22.7,84.5,1.6,0.5,0.1,7.04
40,Renzo Saravia Internacional,28, D(R),,8,720,1,0.8,39.0,82.4,0.5,0.4,-,7.02
41,Reinaldo Sao Paulo,32, D(L),M(L),34(1),3024,6,1.9,42.3,82.5,1.6,1.9,-,7.02
