,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Kevin De Bruyne Man City,30, M(CLR),FW,32(3),2800,1.3,0.5,0.7,-,0.7,1.4,0.1,-,7.97
1,Bruno Fernandes Man Utd,27, M(CLR),,14,1223,1.6,0.8,0.6,-,1.0,2.4,-,-,7.73
2,Ricardo Pereira Leicester,28, D(LR),M(R),28,2520,4.3,1.8,1.6,0.3,2.6,1.9,0.2,-,7.5
3,Adama Traoré Wolves,25, M(CLR),FW,27(10),2608,0.9,0.4,1.1,-,0.4,0.4,0.1,-,7.49
4,Riyad Mahrez Man City,30, AM(CLR),,21(12),1942,0.8,0.5,0.4,-,0.2,0.8,-,-,7.48
5,Sadio Mané Liverpool,29, AM(CLR),FW,31(4),2756,1.3,0.4,1.3,-,0.2,0.8,-,-,7.45
6,Mohamed Salah Liverpool,29, AM(CLR),FW,33(1),2888,0.5,0.2,0.5,-,0.1,0.5,-,-,7.4
7,Raheem Sterling Man City,26, M(CLR),FW,30(3),2661,0.8,0.5,0.9,-,0.1,0.7,0.1,-,7.35
8,Marcus Rashford Man Utd,24, AM(CLR),FW,31,2655,0.4,0.3,0.7,-,0.5,0.5,-,-,7.35
9,James Maddison Leicester,24, AM(CLR),,29(2),2629,1.9,0.3,1.2,-,0.2,1.5,-,-,7.34
10,Harry Kane Tottenham,28, AM(C),FW,29,2590,0.6,0.2,1.3,-,1.0,0.4,0.2,-,7.33
11,Virgil van Dijk Liverpool,30, D(C),,38,3420,0.6,1.1,0.4,1,4.3,0.2,0.4,-,7.32
12,Anthony Martial Man Utd,25, AM(LR),FW,31(1),2640,0.5,0.2,0.9,-,0.5,0.5,-,-,7.31
13,Willian Chelsea,33, AM(CLR),,29(7),2605,1.3,0.6,0.5,-,0.2,0.8,-,-,7.31
14,Marcos Alonso Chelsea,30, D(CL),M(L),15(3),1433,1.6,1.1,0.9,0.2,1.4,1.1,0.1,-,7.3
15,Michail Antonio West Ham,31, D(R),M(CLR),19(5),1773,0.5,0.4,1.7,-,0.2,0.4,0.1,-,7.29
16,Allan Saint-Maximin Newcastle,24, AM(CLR),FW,23(3),1874,0.5,0.3,0.7,-,0.2,0.5,0.1,-,7.29
17,Joel Matip Liverpool,30, D(C),,8(1),704,1.4,1.3,0.8,1,4.1,0.8,0.4,-,7.29
18,David Silva Man City,35, M(CLR),,22(5),1833,1.0,0.5,0.7,-,0.2,0.7,0.1,-,7.29
19,Gabriel Jesus Man City,24, AM(LR),FW,21(13),2026,0.5,0.3,0.8,-,0.2,0.5,-,-,7.26
20,Raúl Jiménez Wolves,30, FW,,37(1),3252,0.5,0.4,1.0,-,0.8,0.7,-,-,7.25
21,Son Heung-Min Tottenham,29, M(CLR),FW,28(2),2487,0.8,0.6,0.6,-,0.6,1.6,-,-,7.24
22,Jack Grealish Aston Villa,26, AM(CL),,36,3234,0.8,0.6,0.9,-,0.3,0.6,0.3,-,7.23
23,Wilfred Ndidi Leicester,24, DMC,,29(3),2674,4.0,2.5,1.8,-,1.9,1.4,0.2,-,7.23
24,Jamie Vardy Leicester,34, AM(L),FW,34(1),3034,0.4,0.1,0.6,-,0.6,0.1,0.1,-,7.22
25,João Cancelo Man City,27, D(LR),M(R),13(4),1206,2.4,1.2,1.0,0.1,0.9,0.9,0.1,-,7.21
26,Trent Alexander-Arnold Liverpool,23, D(R),M(R),35(3),3176,1.4,1.2,0.6,0.5,1.8,1.1,0.2,-,7.2
