,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,7.97,Kevin De Bruyne Man City,30, M(CLR),32(3),2800,13,20,2.8,3.9,1.4,0.8,0.1,0.9,1.3
1,7.73,Bruno Fernandes Man Utd,27, M(CLR),14,1223,8,7,3.1,2.1,1.1,1.0,0.1,0.9,2.1
2,7.5,Ricardo Pereira Leicester,28, D(LR),28,2520,3,2,0.6,1.0,2.1,1.3,-,1.1,1.6
3,7.49,Adama Traoré Wolves,25, M(CLR),27(10),2608,4,9,1.2,1.3,5.0,2.1,0.2,1.8,2.4
4,7.48,Riyad Mahrez Man City,30, AM(CLR),21(12),1942,11,9,2.2,1.8,1.6,0.9,0.4,1.0,1.4
5,7.45,Sadio Mané Liverpool,29, AM(CLR),31(4),2756,18,7,2.2,1.7,2.0,1.5,0.4,1.6,2.9
6,7.4,Mohamed Salah Liverpool,29, AM(CLR),33(1),2888,19,10,3.9,1.8,1.5,0.5,0.6,2.0,2.6
7,7.35,Raheem Sterling Man City,26, M(CLR),30(3),2661,20,1,3.0,1.5,1.7,1.2,0.4,1.8,2.0
8,7.35,Marcus Rashford Man Utd,24, AM(CLR),31,2655,17,7,3.1,1.1,1.9,1.5,0.4,1.1,2.1
9,7.34,James Maddison Leicester,24, AM(CLR),29(2),2629,6,3,2.4,2.5,1.6,2.8,0.1,0.9,1.8
10,7.33,Harry Kane Tottenham,28, AM(C),29,2590,18,2,2.8,0.9,1.0,1.5,0.7,1.1,2.3
11,7.32,Virgil van Dijk Liverpool,30, D(C),38,3420,5,1,0.8,0.2,0.1,0.7,-,0.1,0.1
12,7.31,Anthony Martial Man Utd,25, AM(LR),31(1),2640,17,6,2.5,0.9,1.6,1.3,0.4,1.9,2.3
13,7.31,Willian Chelsea,33, AM(CLR),29(7),2605,9,7,2.0,2.1,1.8,1.3,0.1,0.8,1.7
14,7.3,Marcos Alonso Chelsea,30, D(CL),15(3),1433,4,2,1.7,1.4,0.7,0.8,0.1,0.6,1.8
15,7.29,Michail Antonio West Ham,31, D(R),19(5),1773,10,3,2.8,1.1,2.7,1.5,0.5,1.9,3.0
16,7.29,Allan Saint-Maximin Newcastle,24, AM(CLR),23(3),1874,3,4,1.8,1.3,4.7,1.8,0.1,2.0,2.8
17,7.29,Joel Matip Liverpool,30, D(C),8(1),704,1,-,0.4,0.1,0.2,0.7,-,0.2,0.3
18,7.29,David Silva Man City,35, M(CLR),22(5),1833,6,10,1.7,1.8,1.2,0.7,0.1,0.7,1.3
19,7.26,Gabriel Jesus Man City,24, AM(LR),21(13),2026,14,7,3.0,0.9,1.3,0.9,0.6,1.0,1.4
