,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Kevin De Bruyne Man City,30, M(CLR),FW,32(3),2800,20,3.9,54.5,81.5,2.1,3.5,0.4,7.97
1,Bruno Fernandes Man Utd,27, M(CLR),,14,1223,7,2.1,55.5,75.7,1.0,3.3,0.3,7.73
2,Ricardo Pereira Leicester,28, D(LR),M(R),28,2520,2,1.0,56.1,78.9,0.3,2.1,0.1,7.5
3,Adama Traoré Wolves,25, M(CLR),FW,27(10),2608,9,1.3,19.2,74.4,1.2,0.2,0.1,7.49
4,Riyad Mahrez Man City,30, AM(CLR),,21(12),1942,9,1.8,33.2,90.1,0.6,1.7,0.2,7.48
5,Sadio Mané Liverpool,29, AM(CLR),FW,31(4),2756,7,1.7,31.5,81.6,0.3,1.0,0.1,7.45
6,Mohamed Salah Liverpool,29, AM(CLR),FW,33(1),2888,10,1.8,28.8,76.5,0.3,0.4,0.1,7.4
7,Raheem Sterling Man City,26, M(CLR),FW,30(3),2661,1,1.5,35.4,82.8,0.2,0.3,0.1,7.35
8,Marcus Rashford Man Utd,24, AM(CLR),FW,31,2655,7,1.1,30.4,77.3,0.3,1.2,0.2,7.35
9,James Maddison Leicester,24, AM(CLR),,29(2),2629,3,2.5,47.5,83.0,1.9,2.3,0.2,7.34
10,Harry Kane Tottenham,28, AM(C),FW,29,2590,2,0.9,19.1,66.7,0.1,0.8,0.2,7.33
11,Virgil van Dijk Liverpool,30, D(C),,38,3420,1,0.2,85.8,89.1,-,5.4,0.1,7.32
12,Anthony Martial Man Utd,25, AM(LR),FW,31(1),2640,6,0.9,22.3,80.6,0.1,0.3,0.1,7.31
13,Willian Chelsea,33, AM(CLR),,29(7),2605,7,2.1,39.9,82.7,1.4,1.8,0.1,7.31
14,Marcos Alonso Chelsea,30, D(CL),M(L),15(3),1433,2,1.4,50.4,82.6,1.1,1.4,0.1,7.3
15,Michail Antonio West Ham,31, D(R),M(CLR),19(5),1773,3,1.1,18.6,68.4,0.4,0.4,0.1,7.29
16,Allan Saint-Maximin Newcastle,24, AM(CLR),FW,23(3),1874,4,1.3,16.6,79.1,0.3,0.8,-,7.29
17,Joel Matip Liverpool,30, D(C),,8(1),704,-,0.1,61.4,84.3,-,2.9,-,7.29
18,David Silva Man City,35, M(CLR),,22(5),1833,10,1.8,54.9,89.3,0.1,1.1,0.1,7.29
19,Gabriel Jesus Man City,24, AM(LR),FW,21(13),2026,7,0.9,17.9,86.5,0.1,0.6,-,7.26
20,Raúl Jiménez Wolves,30, FW,,37(1),3252,6,1.3,26.1,72.2,0.1,1.2,0.1,7.25
21,Son Heung-Min Tottenham,29, M(CLR),FW,28(2),2487,10,1.4,26.6,84.7,0.4,0.7,0.2,7.24
22,Jack Grealish Aston Villa,26, AM(CL),,36,3234,6,2.5,38.1,84.8,0.8,2.3,0.1,7.23
23,Wilfred Ndidi Leicester,24, DMC,,29(3),2674,1,0.5,52.2,85.1,-,2.5,-,7.23
24,Jamie Vardy Leicester,34, AM(L),FW,34(1),3034,5,0.9,12.6,70.6,0.2,0.2,-,7.22
25,João Cancelo Man City,27, D(LR),M(R),13(4),1206,-,1.0,59.4,90.4,0.4,2.2,-,7.21
26,Trent Alexander-Arnold Liverpool,23, D(R),M(R),35(3),3176,13,2.3,64.2,76.7,2.1,5.1,-,7.2
27,Aaron Wan-Bissaka Man Utd,23, D(R),M(R),34(1),3102,4,0.7,47.1,81.3,0.4,1.0,-,7.19
28,Richarlison Everton,24, AM(CLR),FW,36,3111,3,0.9,21.9,66.6,0.1,0.6,-,7.19
29,Willy Boly Wolves,30, D(C),,22,1980,1,0.3,44.7,80.9,-,1.8,-,7.19
30,James Tarkowski Burnley,29, D(C),,38,3420,2,0.4,35.5,70.8,-,2.8,-,7.19
31,Paul Pogba Man Utd,28, M(CL),,13(3),1205,3,1.9,64.6,85.5,0.1,5.9,0.4,7.18
32,Christian Pulisic Chelsea,23, M(CLR),,19(6),1727,4,1.2,26.7,79.9,0.2,0.8,-,7.18
33,Sergio Agüero Man City,33, AM(CL),FW,18(6),1460,3,0.8,14.8,80.5,-,-,-,7.16
34,Lucas Digne Everton,28, D(CL),M(L),35,3035,7,2.1,39.3,74.2,2.1,1.8,0.1,7.16
35,James Ward-Prowse Southampton,27, M(CR),,38,3420,3,1.6,43.8,80.9,1.5,2.1,-,7.15
36,Jordan Henderson Liverpool,31, D(C),M(CLR),26(4),2244,5,0.9,61.9,84.5,0.3,4.2,0.1,7.15
37,Tomas Soucek West Ham,26, DMC,,12(1),1041,-,0.4,30.3,70.1,-,1.2,-,7.14
