,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
48,7.13,Aitor Cantalapiedra Twente,25, AM(R),21,1824,7,4,2.8,1.6,1.6,2.7,0.2,1.7,3.1
49,7.13,Cody Gakpo PSV Eindhoven,22, AM(CL),14(11),1458,7,6,1.5,1.8,1.4,0.6,0.2,1.7,1.9
50,7.13,Cyriel Dessers Heracles,26, FW,26,2312,15,5,3.2,1.2,1.6,0.5,1.2,2.4,3.5
51,7.12,Mats Köhlert Willem II,23, AM(L),26,2179,6,4,1.3,1.5,1.6,1.5,0.2,1.6,2.3
52,7.12,Mitchell van Bergen SC Heerenveen,22, AM(LR),25,2238,5,4,2.5,2.0,2.0,0.4,0.4,0.6,2.2
53,7.12,Pol Llonch Willem II,29, DMC,24,2097,2,-,0.6,0.5,0.5,1.5,-,1.0,0.9
54,7.11,Amadou Ciss Fortuna Sittard,22, AM(L),22,1893,6,3,1.3,1.2,0.9,1.4,0.4,1.5,3.4
55,7.11,Max Clark Vitesse,25, D(L),22(1),1970,1,3,0.8,1.5,0.3,0.6,-,0.8,1.1
56,7.11,Simon Gustafson FC Utrecht,26, AM(C),23,2050,6,5,1.6,2.3,1.0,1.7,-,0.8,1.4
57,7.11,Delano Burgzorg Heracles,23, AM(L),5,422,1,-,1.6,1.2,1.6,3.0,0.2,0.8,1.2
58,7.09,Glenn Bijl FC Emmen,26, D(R),24,2151,1,5,1.2,1.5,1.1,1.6,0.2,0.6,1.2
59,7.09,Silvester van der Water Heracles,25, AM(R),20(3),1652,7,2,2.0,0.7,1.7,1.7,-,1.9,3.4
60,7.09,Nicolai Jørgensen Feyenoord,30, FW,11(2),978,5,2,2.7,1,1.2,0.9,0.7,1.2,2.9
61,7.08,Matús Bero Vitesse,26, M(CLR),22,1867,3,2,0.8,1.3,1,1.5,-,1.1,2
62,7.07,Pablo Rosario PSV Eindhoven,24, DMC,26,2256,2,3,0.7,1.1,1,0.6,-,0.7,0.6
63,7.07,Aaron Bastiaans VVV-Venlo,19, Forward,0(1),16,1,-,1,-,-,1.0,-,-,-
64,7.07,Lucas Schoofs Heracles,24, DMC,1,90,-,-,-,-,-,2.0,1,1,-
65,7.07,Marcos Senesi Feyenoord,24, D(C),15(1),1395,1,-,0.5,0.1,1,0.6,-,0.4,0.6
66,7.06,Noa Lang Ajax,22, AM(LR),2(3),210,3,-,2.2,1,0.8,0.6,-,1.4,1.4
67,7.06,Sean Klaiber FC Utrecht,27, D(R),24,2145,4,4,0.9,1,0.8,0.4,0.2,0.9,2
68,7.05,Ryan Thomas PSV Eindhoven,26, M(CL),10(1),800,2,2,1,1.7,0.9,1.3,0.1,1.2,1.7
69,7.05,Pelle Clement PEC Zwolle,25, M(CL),24,2086,3,3,0.9,1.1,1.9,1.2,-,1.5,1.7
70,7.04,Ben Rienstra SC Heerenveen,31, D(C),1,74,-,-,-,-,1.0,2.0,-,2,1.0
71,7.04,Oussama Darfalou VVV-Venlo,28, FW,8,720,3,-,3.1,0.6,1.5,1.6,0.6,2.3,3.4
72,7.04,Sam Lammers PSV Eindhoven,24, FW,7,546,2,1,2.3,0.4,1.6,1.0,0.1,2,3.9
73,7.04,Ryan Gravenberch Ajax,19, DMC,5(4),480,2,1,0.7,1.3,2.2,0.4,-,0.7,2.1
74,7.03,Hicham Faik SC Heerenveen,29, M(C),26,2204,3,1,1.8,1.8,0.8,1.0,0.1,1.2,1.3
75,7.03,Jeff Hardeveld Heracles,26, D(CL),7(1),688,-,-,0.3,0.9,0.6,0.4,-,-,1.1
76,7.03,Ron Vlaar AZ Alkmaar,36, D(C),10,781,2,1,0.5,0.1,0.6,0.3,-,0.2,0.3
77,7.03,Leroy Fer Feyenoord,31, M(CL),22(1),1970,2,2,0.6,0.8,1.3,1.0,-,1.4,1.6
78,7.03,Tim Matavz Vitesse,32, FW,24(1),2051,12,4,2.2,1,0.5,0.5,0.9,0.5,1.9
79,7.02,Mohamed Rayhi Sparta Rotterdam,27, AM(CL),24(1),1966,7,3,2.4,1.7,1.2,1.2,-,1.2,2.6
80,7.02,Eric Botteghin Feyenoord,34, D(C),20,1785,2,-,0.4,0.1,0.2,0.3,0.1,0.2,0.4
