,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Nick Marsman Feyenoord,31, GK,,2,180,-,-,0.5,-,0.5,-,-,-,8.19
1,Hakim Ziyech Ajax,28, M(CLR),,21,1619,1.8,0.5,0.8,-,-,1.1,-,-,8.19
2,Zakaria Labyad Ajax,28, AM(CLR),FW,2,149,3.5,0.5,1.5,-,-,-,-,-,8.05
3,Steven Berghuis Feyenoord,29, AM(CR),FW,24,2109,1.4,0.2,0.3,-,0.1,0.9,-,-,7.8
4,Dusan Tadic Ajax,32, AM(CLR),FW,25,2172,0.7,0.3,0.7,-,0.4,0.8,0.1,-,7.72
5,Oussama Idrissi AZ Alkmaar,25, AM(LR),,25,1980,1.2,0.1,1.2,0.1,-,1.6,-,-,7.7
6,Luis Sinisterra Feyenoord,22, AM(L),FW,21,1627,1.9,0.7,1.0,-,1.1,1,0.1,-,7.6
7,Donyell Malen PSV Eindhoven,22, AM(L),FW,14,1191,0.3,0.1,0.6,-,0.5,0.4,0.1,-,7.59
8,Fredrik Midtsjø AZ Alkmaar,28, M(CR),,22(1),1926,1.6,2.1,1.0,-,0.7,1.7,0.3,-,7.56
9,Steven Bergwijn PSV Eindhoven,24, AM(CLR),FW,16,1336,0.5,0.3,0.7,-,0.3,0.4,0.1,-,7.52
10,Quincy Promes Ajax,29, M(CLR),FW,18(2),1500,0.6,0.5,0.5,-,0.2,0.7,0.1,-,7.52
11,Gyrano Kerk FC Utrecht,25, AM(LR),FW,24,2070,1.2,0.3,0.9,-,0.2,0.8,-,-,7.45
12,Teun Koopmeiners AZ Alkmaar,23, D(C),DMC,25,2217,2.1,1.0,1.1,0.2,2.1,1.5,0.2,1,7.43
13,Joël Veltman Ajax,29, D(CR),M(R),19,1651,3.2,1.2,0.9,0.4,3.3,0.7,0.3,-,7.43
14,Lisandro Martínez Ajax,23, D(CL),DMC,24,2033,1.9,1.7,1.2,0.2,1.7,1.5,0.5,-,7.41
15,Donny van de Beek Ajax,24, M(C),,22(1),1916,2.0,0.7,0.6,-,0.5,0.6,0.2,-,7.41
16,Chidera Ejuke SC Heerenveen,23, AM(LR),FW,24(1),2062,1.0,0.6,0.3,-,0.1,0.7,-,-,7.4
17,Calvin Stengs AZ Alkmaar,22, AM(CR),,24(1),2158,1.0,0.3,0.9,-,0.2,1.8,-,-,7.38
18,Adam Maher FC Utrecht,28, M(CR),,22(1),1926,2.3,1.7,1.3,-,1.5,2.3,0.3,-,7.37
19,Bryan Linssen Vitesse,31, AM(CLR),FW,25,2128,1.8,0.7,1.9,0.1,0.6,1.3,0.1,-,7.36
20,Tyrell Malacia Feyenoord,22, D(L),,12,1080,3.3,1.6,1.3,0.4,2.6,0.6,0.1,-,7.35
21,Fernando Lewis Willem II,28, D(CR),M(L),3,270,3.3,2.0,1.0,-,4.3,0.7,0.7,-,7.35
22,Abdou Harroui Sparta Rotterdam,23, DMC,M(R),26,2148,3.0,0.7,1.8,-,0.5,1.2,0.2,-,7.33
