,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
416,Vina Atletico MG,30, M(C),FW,13(11),1232,2,1.3,30.0,85.0,0.4,2.7,-,6.52
417,Walter Montoya Gremio,28, AM(CR),,3,217,1,0.3,40.0,86.7,0.3,1.7,-,6.52
418,Fernando Sobral Ceara,26, M(CLR),,8(5),804,-,0.9,26.0,73.7,0.1,0.5,-,6.51
419,André Gremio,31, FW,,10(7),893,2,0.6,13.4,78.5,0.1,0.3,-,6.51
420,Rodolfo Fluminense,30, GK,,5(1),471,-,0.2,23.0,74.6,-,3.8,-,6.51
421,William Oliveira Ceara,29, DMC,,11(3),912,-,0.1,21.4,86.3,-,0.7,-,6.5
422,Rafael Pereira Chapecoense AF,36, D(C),,15(2),1315,-,0.3,32.9,84.8,-,3.0,-,6.5
423,Matheus Frizzo Gremio,23, Midfielder,,1,83,-,1.0,47.0,91.5,1,1.0,-,6.5
424,Vinícius Locatelli Chapecoense AF,23, Midfielder,,4(8),440,1,0.8,19.1,93.0,0.3,1.0,0.1,6.5
425,Dawhan CS Alagoano,25, D(R),DMC,26(6),2454,-,0.6,32.9,86.1,0.2,1.3,-,6.5
426,Fernandão Bahia,34, FW,,11(21),1085,-,0.4,8.8,60.9,-,0.2,-,6.5
427,Renato Chapecoense AF,31, D(R),M(R),10(5),759,-,0.6,12.3,71.9,0.4,0.4,-,6.5
428,Ronaldo Flamengo,25, DMC,,2(1),181,1,0.7,31.7,90.5,-,1.3,-,6.5
429,Felipe Jonatan Santos FC,23, D(L),M(CL),12(14),1139,-,0.5,13.4,78.5,0.2,0.6,-,6.49
430,Héctor Bustamante CS Alagoano,26, AM(R),,14(5),1175,1,0.7,17.7,79.8,0.7,0.7,-,6.49
431,Igor Julião Fluminense,27, D(LR),,8(7),792,-,0.8,20.3,82.0,0.6,0.4,-,6.49
432,Felipe Araruna Fortaleza,25, D(R),DMC,7(2),625,-,0.9,29.0,84.3,0.1,2.1,-,6.48
433,Miguel Borja Palmeiras,28, FW,,3(6),346,1,0.4,9.7,72.4,0.2,0.1,-,6.48
434,Neilton Internacional,27, AM(CLR),FW,9(7),766,-,0.8,23.6,80.9,0.3,0.9,-,6.48
435,Lucas Hernández Atletico MG,29, D(L),,5,447,-,0.6,37.0,78.9,0.4,1.2,-,6.48
436,Nenê Bonilha Fortaleza,29, M(C),,2(4),262,-,0.5,22.5,85.2,0.3,0.8,-,6.48
437,Marinho Gremio,31, AM(CLR),FW,0(2),47,-,-,10.5,71.4,-,-,-,6.48
438,Werley Vasco da Gama,33, D(C),,7(1),666,-,0.3,41.1,90.3,-,2,-,6.48
439,Luiz Fernando Botafogo RJ,25, AM(LR),,27(5),2129,-,0.7,16.8,81.8,0.3,0.5,-,6.48
440,Dodi Fluminense,25, DMC,,2(7),365,-,0.2,19.3,90.8,-,0.4,-,6.48
441,Luan Peres Santos FC,27, D(CL),,8(1),581,-,0.1,36.7,83.9,-,2.3,-,6.48
442,João Carlos CS Alagoano,33, GK,,10(1),903,-,-,20.9,54.8,-,4.9,-,6.48
443,Maximiliano López Vasco da Gama,37, FW,,5,418,-,0.4,10.0,64.0,-,0.2,-,6.48
444,Nenê Sao Paulo,40, AM(CLR),FW,0(2),45,1,0.5,8.5,64.7,0.5,-,-,6.48
445,Luccas Claro Fluminense,30, D(C),,2,180,-,-,44.0,83.0,-,1,-,6.48
446,Caique Sá Chapecoense AF,29, D(R),,5,303,-,0.2,24.0,78.3,-,3.2,-,6.47
447,Paulo André Athletico Paranaense,38, D(C),,4(1),354,-,0.2,48.8,91.4,-,3,-,6.47
448,Augusto César Chapecoense AF,29, M(CR),,8(5),710,1,0.5,17.1,81.5,0.2,0.5,-,6.47
449,Bérgson Ceara,30, AM(R),FW,12(10),1137,1,0.4,9.2,70.4,0.1,-,-,6.47
450,Hyoran Palmeiras,28, M(CLR),,5(7),456,3,0.8,8.5,83.3,-,0.7,-,6.47
451,Juanfran Sao Paulo,36, D(R),,14(3),1163,2,0.5,30.8,84.7,0.2,0.9,-,6.47
452,Marquinhos Gabriel Cruzeiro,31, AM(CLR),,20(8),1802,3,1.0,26.3,86.8,0.4,0.9,-,6.46
453,Mascarenhas Fluminense,23, Defender,,0(1),45,-,1.0,10.0,90.0,3,-,-,6.46
