,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
123,6.9,Thiago Galhardo Ceara,32, AM(CL),31(3),2675,12,1,2.4,1,1.4,1.5,0.3,1.5,2
124,6.9,Miguel Trauco Flamengo,29, D(L),5,450,-,1,1.2,1.2,1,-,-,0.4,0.4
125,6.9,Marrony Vasco da Gama,22, AM(L),30(4),2639,4,2,2.1,0.9,1.5,2.1,0.2,1.2,2.4
126,6.9,Caio Paulista Avai FC,23, AM(LR),23(3),2021,-,-,1.7,1,3.6,1.4,0.1,1.7,3.5
127,6.9,Evandro Santos FC,35, AM(C),14(4),1101,1,5,0.6,1.5,0.5,1.7,0.1,0.4,1.1
128,6.9,Paulo Victor Gremio,34, GK,28,2520,-,-,-,-,-,0.1,-,-,-
129,6.9,Pedro Henrique Corinthians,26, D(C),3,270,-,-,0.3,-,-,1,-,-,-
130,6.89,Reinier Flamengo,19, AM(C),8(6),711,6,2,1.4,0.7,0.6,0.5,-,0.6,1.9
131,6.89,Jean Lucas Santos FC,23, AM(C),8(1),630,-,1,1.4,0.4,0.9,2,-,1.2,1.9
132,6.89,Tharlis Chapecoense AF,23, Defender,3(1),234,-,-,0.5,0.5,0.3,0.8,-,1,-
133,6.89,Victor Atletico MG,38, GK,10,900,-,-,-,-,0.1,-,-,-,-
134,6.89,Paulinho Bahia,26, D(L),2,180,-,-,0.5,1,0.5,-,-,-,0.5
135,6.88,Ralf Corinthians,37, DMC,22(1),1922,1,-,0.5,0.3,0.3,1.5,-,0.3,0.6
136,6.88,Henrique Corinthians,35, D(CR),5,450,-,-,-,-,-,-,0.2,0.2,0.4
137,6.88,Roberto Chapecoense AF,30, D(L),17,1490,-,1,1.8,0.9,1.9,2.1,0.1,0.8,1.6
138,6.88,Wellington Paulista Fortaleza,37, AM(R),28(3),2437,13,3,2,0.6,0.4,1.5,0.4,0.5,1.5
139,6.87,Weverton Palmeiras,33, GK,31,2790,-,-,-,0.1,-,0.2,-,-,-
140,6.87,Luis Orejuela Cruzeiro,26, D(R),23,1822,2,-,0.6,1.1,1.5,0.9,0.1,1.1,1.7
141,6.87,Luiz Adriano Palmeiras,34, AM(L),11(2),901,6,1,1.3,0.8,0.3,1.2,0.5,0.5,1.2
142,6.87,Felipe Alves Fortaleza,33, GK,32,2827,-,-,-,-,0.2,0.1,-,-,0.1
143,6.87,Rodrigo Dourado Internacional,27, DMC,1,90,-,-,-,-,-,1.0,-,1,2
144,6.87,Romarinho Fortaleza,27, AM(CLR),29(3),2299,3,4,1.3,1.2,2.5,2.3,0.1,1.8,1.9
145,6.87,Carlos Augusto Corinthians,22, D(L),13(2),1199,1,-,0.4,0.9,1,0.6,-,0.5,0.9
146,6.86,Cleiton Atletico MG,24, GK,25,2250,-,-,-,-,-,0.3,-,-,-
147,6.86,Thiago Carleto Ceara,32, D(L),5,437,-,-,2,1.6,-,0.6,-,0.8,0.6
148,6.86,Talles Magno Vasco da Gama,19, AM(CL),12(3),1066,2,-,1.9,0.8,2.9,2.2,0.1,2,2.3
149,6.86,Gilberto Fluminense,28, D(R),31,2746,-,2,1,1.1,1,0.7,0.1,1.2,1
150,6.85,Rithely Internacional,30, DMC,7(1),560,-,1,0.5,0.4,0.8,0.6,-,0.9,0.6
151,6.85,Digão Fluminense,33, D(C),21,1759,1,-,0.5,-,0.2,0.7,-,-,-
152,6.85,Éverson Santos FC,31, GK,32,2880,-,-,-,0.1,-,0.3,-,-,-
153,6.85,Juninho Capixaba Gremio,24, D(L),16(1),1469,-,1,0.4,0.9,1.1,2.2,0.2,0.6,1.6
154,6.85,Camacho Athletico Paranaense,31, DMC,8(3),697,-,1,0.2,0.8,0.5,0.5,-,0.5,0.6
155,6.85,Michel Gremio,31, D(C),20(2),1702,-,1,0.7,0.5,0.1,0.2,-,0.3,0.7
156,6.85,Yony González Fluminense,27, AM(LR),34,2922,6,2,3.1,1.1,0.9,1.8,0.2,1.1,2.3
157,6.84,Bruno Melo Fortaleza,29, D(L),13(1),1183,3,3,0.9,0.6,0.6,1.1,0.1,0.4,0.7
158,6.84,Moisés Bahia,26, D(L),30,2568,-,2,0.8,1,1,0.6,0.1,1.1,1.4
159,6.84,Diego Alves Flamengo,36, GK,32,2880,-,-,-,-,-,0.1,-,-,-
160,6.84,Bruno Fuchs Internacional,22, D(C),9(1),793,-,-,0.5,0.6,0.6,0.8,0.1,0.2,0.2
161,6.84,Celsinho CS Alagoano,33, D(R),9(3),869,-,1,0.1,0.8,0.5,0.3,-,0.4,0.3
162,6.84,Rodinei Flamengo,29, D(R),12(5),1122,-,1,0.1,0.6,1.9,0.6,0.1,0.2,0.6
163,6.83,Caio Henrique Fluminense,24, D(L),35,3150,1,2,0.4,1.5,1.3,0.7,0.2,0.6,1.6
164,6.83,Henrique Cruzeiro,36, DMC,33,2970,-,-,0.7,0.7,0.4,2.2,-,0.6,0.8
