,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Rodrygo Santos FC,20, AM(CLR),,4,360,1.8,0.8,2,-,-,1,-,-,7.86
1,Giorgian de Arrascaeta Flamengo,27, AM(CLR),FW,22(1),1829,1.9,0.4,1.1,-,0.2,1.3,-,-,7.82
2,Gabi Flamengo,25, AM(LR),FW,29,2547,0.6,0.1,0.7,-,-,0.7,-,-,7.55
3,Dudu Palmeiras,29, AM(CLR),FW,34(2),3070,0.4,0.3,1.1,-,0.1,0.6,-,-,7.5
4,Lucas Piton Corinthians,21, D(L),,0(1),45,4,1,1,-,-,1,-,-,7.47
5,Alisson Gremio,28, AM(CLR),,22,1738,0.8,0.8,1.1,-,0.8,0.7,0.1,-,7.45
6,Bruno Henrique Flamengo,30, AM(CLR),FW,29(4),2573,0.9,0.3,1.8,-,0.8,0.9,0.1,-,7.44
7,Jean Pyerre Gremio,23, AM(C),,10,813,0.7,0.6,0.7,-,0.1,0.8,0.1,-,7.37
8,Marcelo Rangel Goias,33, GK,,1,90,-,-,-,-,-,-,-,-,7.36
9,Yeferson Soteldo Santos FC,24, AM(CL),FW,31(1),2698,0.9,0.3,0.8,-,0.1,0.9,-,-,7.35
10,Walter Corinthians,33, GK,,6,540,-,-,-,-,0.8,0.2,-,-,7.34
11,Dani Alves Sao Paulo,38, D(R),M(CR),20,1756,2.6,0.5,2.8,0.1,0.6,1.4,0.1,-,7.33
12,Éverton Gremio,25, AM(CLR),FW,23(7),2277,1,0.5,0.6,-,-,0.8,0.1,-,7.33
13,Danilo Fernandes Internacional,33, GK,,4(1),394,-,-,-,-,1.2,-,-,-,7.33
14,Marcos Rocha Palmeiras,32, D(R),M(R),29(1),2615,3.9,1.7,1.6,-,1.8,1.5,0.1,-,7.31
15,Jorge Santos FC,25, D(L),M(L),28(1),2558,2,2,1.1,0.1,1.3,0.8,0.2,-,7.29
16,Víctor Cuesta Internacional,32, D(C),,30(1),2712,2.4,2.1,1.3,0.3,3.3,0.6,0.7,-,7.27
17,Marco Antonio Bahia,24, Midfielder,,3(3),345,2,0.2,0.5,-,-,1,-,-,7.26
18,Pedrinho Corinthians,23, AM(CR),,26(2),2181,0.9,0.6,0.5,-,0.1,0.8,-,-,7.24
